month,day,hour,temperature_2m,dew_point_2m,rain,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day
1,1,0,6.91,4.91,0.2,31.75355,266.09958,63.72,0
1,1,1,6.5600004,4.46,2.5,31.845251,275.8394,64.079994,0
1,1,2,6.16,4.21,0.8,30.141266,262.45065,59.399998,0
1,1,3,6.66,4.01,0.6,30.903435,261.9644,61.920002,0
1,1,4,5.96,3.56,1.3,31.129074,264.02576,60.839996,0
1,1,5,5.71,3.41,1.8000001,29.381382,262.96216,59.76,0
1,1,6,6.3599997,3.21,0,25.099514,261.75375,55.079998,0
1,1,7,6.3599997,3.01,0.1,22.148045,262.52853,48.96,0
1,1,8,6.3100004,2.91,0,18.35647,258.6901,41.399998,0
1,1,9,6.26,2.81,0,14.336861,241.50446,34.56,1
1,1,10,6.41,3.31,0,10.787993,205.7099,26.28,1
1,1,11,6.51,3.46,0,13.75558,173.99109,24.84,1
1,1,12,6.8599997,3.46,0.1,15.496736,182.66295,29.16,1
1,1,13,7.46,4.71,0,15.2947035,153.43501,28.8,1
1,1,14,7.6099997,4.8100004,0,18.359999,151.92761,36.36,1
1,1,15,7.66,5.16,0.2,23.688984,143.65245,43.92,1
1,1,16,7.71,5.21,0.5,28.856194,139.55385,53.639996,1
1,1,17,7.71,5.96,1,28.006056,133.95847,54.36,0
1,1,18,8.11,6.51,2.3,26.36616,145.0079,55.44,0
1,1,19,9.31,7.5600004,1.6,28.512817,155.37645,53.639996,0
1,1,20,10.16,8.81,3.9,30.703587,175.29224,63,0
1,1,21,10.46,9.31,4,26.674032,201.37068,63,0
1,1,22,10.91,10.41,0.5,28.04305,240.80261,51.839996,0
1,1,23,10.71,9.56,0,30.489683,247.06787,60.839996,0
1,2,0,10.26,8.610001,0,31.062386,237.78348,59.039997,0
1,2,1,9.860001,8.56,0.8,26.089443,230.59937,47.88,0
1,2,2,9.71,8.81,0.6,27.792374,233.42688,52.92,0
1,2,3,9.91,8.96,0.3,26.826641,229.89915,52.92,0
1,2,4,10.01,8.96,0.2,23.333443,218.10762,49.68,0
1,2,5,10.06,9.06,0.1,19.966211,205.64096,43.199997,0
1,2,6,9.76,8.41,0.7,17.309973,196.9276,37.44,0
1,2,7,9.91,8.860001,1.3,16.923828,181.21884,33.12,0
1,2,8,9.860001,8.91,1.1,12.641076,160.0168,31.319998,0
1,2,9,9.71,8.66,1.8,14.512064,136.00499,28.44,1
1,2,10,9.81,8.26,1.4,13.276144,102.5288,26.64,1
1,2,11,9.76,8.11,1.8,16.45007,66.80139,29.88,1
1,2,12,9.56,8.06,3.1,14.77755,34.07725,31.68,1
1,2,13,8.66,7.0600004,1.3,21.67487,355.23645,41.399998,1
1,2,14,8.31,7.01,2.2,17.22742,296.02954,41.039997,1
1,2,15,8.11,6.5600004,2.2,12.7279215,278.13,33.839996,1
1,2,16,8.26,7.16,1.6,18.888851,262.33328,36.36,1
1,2,17,8.96,7.8599997,0.3,25.959969,250.55988,49.68,0
1,2,18,8.360001,6.6099997,2.7,34.726475,252.50415,67.32,0
1,2,19,8.26,7.21,1.1,29.49804,246.25049,64.439995,0
1,2,20,8.71,6.46,1,26.64,251.07526,56.16,0
1,2,21,8.41,6.21,1.3,23.510508,244.61214,51.12,0
