month,day,hour,temperature_2m,dew_point_2m,rain,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day
1,1,0,7.1935,4.7434998,0,34.651752,265.82965,60.120003,0
1,1,1,7.4435,4.5435,0,34.746994,264.05322,57.96,0
1,1,2,7.1435,4.2434998,0,32.048088,268.7127,59.76,0
1,1,3,7.4435,3.8435001,0,32.59939,276.3401,56.519997,0
1,1,4,7.2434998,3.0935001,0,30.602118,270.674,55.079998,0
1,1,5,7.1435,2.1435,0,28.802248,270.71616,52.199997,0
1,1,6,6.9934998,1.6935,0,23.40277,269.11862,48.6,0
1,1,7,7.0934997,1.6935,0,20.991426,264.09396,39.239998,0
1,1,8,6.8935,1.8435001,0,18.345877,254.05453,35.64,0
1,1,9,6.4934998,1.9435,0,15.986593,234.16226,30.960001,1
1,1,10,6.6935,2.5435,0,17.10284,220.73201,28.08,1
1,1,11,7.6935,3.4435,0,17.339897,221.63345,30.239998,1
1,1,12,8.2435,4.1435,0,15.1884165,211.42952,29.16,1
1,1,13,8.5435,5.6435,0.2,16.418526,195.25517,28.08,1
1,1,14,8.1935005,6.2434998,0.5,16.93531,177.5634,28.8,1
1,1,15,8.0935,6.8935,2.3,17.873556,152.4028,29.16,1
1,1,16,8.3935,7.4435,2.2,21.9718,161.86183,36.719997,1
1,1,17,9.3935,8.1935005,1.7,26.67889,183.094,45.36,0
1,1,18,9.743501,8.5435,2.1,33.121956,179.37726,56.88,0
1,1,19,9.6935005,8.743501,2.7,23.770906,181.73567,56.519997,0
1,1,20,10.6435,9.1935005,2.2,24.74329,188.3658,47.88,0
1,1,21,11.1435,9.8935,2.1,34.171566,200.3442,57.96,0
1,1,22,11.8435,10.2935,1.1,28.79325,227.5336,58.32,0
1,1,23,12.2935,10.2935,0.2,38.423992,257.00537,64.799995,0
1,2,0,11.2935,9.1935005,0,35.33506,261.20953,66.6,0
1,2,1,11.3935,9.6435,0,27.943514,255.06853,55.079998,0
1,2,2,11.0935,9.3935,0,22.553934,245.48038,47.16,0
1,2,3,11.1435,9.4435005,0,22.17144,237.60017,38.16,0
1,2,4,11.2935,9.493501,0,21.385939,233.90163,38.519997,0
1,2,5,11.0935,9.4435005,0,20.364674,224.9999,35.64,0
1,2,6,10.743501,9.2935,0.2,14.904173,217.14677,34.2,0
1,2,7,10.243501,9.2935,0.8,9.3876505,175.60138,24.84,0
1,2,8,10.6435,10.1935005,1.3,14.145756,165.2564,23.4,0
1,2,9,11.243501,10.7935,1.1,19.011953,161.22188,29.88,1
1,2,10,12.1935005,11.1935005,2.2,27.504095,194.40005,50.76,1
1,2,11,12.7935,11.5935,1.2,33.71338,210.12422,56.88,1
1,2,12,13.243501,11.743501,0.1,32.854805,214.73492,57.6,1
1,2,13,12.5435,11.1435,0.2,32.854805,214.73492,55.079998,1
1,2,14,10.6435,8.4935,0.5,55.290184,261.76447,92.159996,1
1,2,15,10.0435,7.9934998,0.1,51.919937,266.82022,98.64,1
1,2,16,9.743501,8.0935,0.2,42.55468,266.60513,87.84,1
1,2,17,9.6935005,7.9934998,0.2,38.08861,262.94226,71.64,0
1,2,18,9.243501,7.5934997,0.1,32.55363,259.80856,64.079994,0
1,2,19,9.0935,7.4435,0,30.821548,255.80142,54.36,0
1,2,20,9.1935005,7.5934997,0,26.183659,251.56496,52.92,0
1,2,21,9.1935005,7.4435,0,24.819122,246.0375,46.079998,0
1,2,22,9.0935,7.1435,0,25.318008,240.15416,44.28,0
1,2,23,8.7935,7.0435,0,23.557316,231.20343,42.48,0
1,3,0,8.9435005,7.0435,0,24.75638,229.12769,41.760002,0
1,3,1,9.243501,6.9934998,0.1,22.039528,231.63248,37.8,0
