month,day,hour,temperature_2m,dew_point_2m,rain,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day
1,1,0,6.5095,4.5595,0,24.149532,280.30478,49.32,0
1,1,1,6.1595,3.8095002,0,23.4,270,50.76,0
1,1,2,5.4595003,3.4594998,0,21.611998,268.09088,46.44,0
1,1,3,5.2595,3.3595,0,21.316135,265.1561,42.48,0
1,1,4,5.1595,3.2595,0,21.349546,264.19336,42.48,0
1,1,5,5.3095,3.1595001,0,20.774214,261.02747,42.48,0
1,1,6,5.1095,2.8095002,0,20.316889,262.8751,41.399998,0
1,1,7,4.7595,2.6095,0,19.48661,258.2749,40.32,0
1,1,8,4.2595,2.5095,0,17.208603,254.21918,38.88,0
1,1,9,3.7094998,2.2094998,0,14.372974,247.93205,34.2,1
1,1,10,3.8095002,2.0595,0,13.281023,237.17146,27.72,1
1,1,11,4.4095,2.3595,0,11.200571,224.9999,26.28,1
1,1,12,5.0595,2.5595002,0,9.511088,209.4758,22.68,1
1,1,13,6.0095,3.2094998,0,10.853866,185.7105,23.759998,1
1,1,14,5.9095,3.4095001,0,10.041354,165.4655,22.68,1
1,1,15,6.3095,3.6095,0.1,14.113652,142.25313,26.64,1
1,1,16,6.4595003,3.9594998,0.7,19.346441,135.0001,37.079998,1
1,1,17,6.7095003,4.3595,0.4,23.4,120.51016,43.92,0
1,1,18,6.7095003,4.9595003,1,26.882141,110.37652,51.48,0
1,1,19,6.9095,5.3595,1.7,29.869154,105.376305,58.32,0
1,1,20,7.2095003,5.9595003,2.8,29.62518,115.94224,59.76,0
1,1,21,7.5595,6.5095,3.4,24.464113,122.98853,57.96,0
1,1,22,7.6595,6.7095003,1.9,22.89611,126.68982,51.12,0
1,1,23,7.9095,7.0595,1.2,11.480557,131.18582,45,0
1,2,0,8.7095,7.5095,0.1,18.64369,190.00792,36.719997,0
1,2,1,8.7595005,7.4595003,0,15.484185,252.40749,43.92,0
1,2,2,9.3595,7.6095,0,25.277023,252.5972,48.96,0
1,2,3,8.6595,6.9095,0,19.161337,244.39786,51.12,0
1,2,4,8.4595,6.7095003,0,16.29174,224.9999,37.8,0
1,2,5,8.1595,6.6095,0,14.57889,212.90524,32.399998,0
1,2,6,7.7595,6.5095,0,13.849477,207.89717,28.44,0
1,2,7,8.3595,7.0095,0,14.917212,199.74693,28.8,0
1,2,8,8.5095005,7.1595,0,15.192682,193.70699,29.16,0
1,2,9,8.0595,7.1095,0,11.966953,186.91113,29.519999,1
1,2,10,8.0595,6.9095,0.1,9.605998,192.99461,23.039999,1
1,2,11,8.5595,7.2595,0.1,9.565437,199.79897,19.08,1
1,2,12,8.7095,7.8595,0.4,10.464797,206.56499,20.16,1
1,2,13,9.3595,8.0595,0,13.584932,212.00534,25.919998,1
1,2,14,9.5095005,8.0595,0,14.512064,223.99501,28.08,1
1,2,15,9.3095,7.8095,0,14.291592,229.08571,28.08,1
1,2,16,8.9095,7.3095,0.1,15.379206,237.42595,28.8,1
1,2,17,8.5095005,7.1095,0.3,16.055353,250.34608,30.960001,0
1,2,18,8.2595,7.1595,0.3,14.81259,244.05775,31.319998,0
1,2,19,7.9595003,6.8095,0,16.09969,243.43501,31.319998,0
1,2,20,7.6595,6.6095,0,15.941944,244.59233,31.319998,0
1,2,21,7.4095,6.3595,0,15.629971,241.07367,31.319998,0
1,2,22,6.8595,5.8595,0,15.575981,236.3099,30.960001,0
1,2,23,6.4595003,5.6095,0,15.629971,231.54626,30.599998,0
1,3,0,6.8095,5.8595,0,14.689588,233.97253,30.599998,0
1,3,1,7.7595,6.4095,0,12.819235,231.84273,28.44,0
