month,day,hour,temperature_2m,dew_point_2m,rain,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day
1,1,0,6.602,3.9520001,0,27.534704,258.6901,50.399998,0
1,1,1,5.902,3.7020001,0,26.6327,260.66507,50.76,0
1,1,2,5.902,3.4520001,0,26.525429,262.1999,49.32,0
1,1,3,5.552,3.102,0,26.576681,261.43094,48.6,0
1,1,4,5.302,2.852,0,27.25559,257.79956,50.039997,0
1,1,5,5.102,2.652,0,25.772078,257.90524,49.32,0
1,1,6,4.902,2.252,0,25.630886,259.47928,46.8,0
1,1,7,4.752,1.802,0,24.798225,260.81125,46.44,0
1,1,8,4.452,1.6520001,0,22.608458,260.83774,45.36,0
1,1,9,4.402,1.552,0,19.211996,257.00537,41.039997,1
1,1,10,5.002,1.802,0,16.923828,240.70874,34.56,1
1,1,11,6.102,1.602,0,20.12461,243.43501,38.16,1
1,1,12,6.502,2.2020001,0,18.391737,229.76372,39.6,1
1,1,13,6.102,2.602,0,14.20062,210.46547,31.319998,1
1,1,14,6.202,3.7020001,0,10.8955765,187.59456,25.919998,1
1,1,15,6.452,4.252,0,15.84409,181.30193,28.44,1
1,1,16,6.002,4.452,1.1,14.84318,165.96373,31.319998,1
1,1,17,6.152,5.052,0.7,18.278645,147.87503,32.760002,0
1,1,18,6.402,5.452,1.7,21.889065,143.69542,39.239998,0
1,1,19,7.002,6.202,2.2,25.661207,145.86401,46.079998,0
1,1,20,7.902,7.052,2,24.693481,172.46065,46.8,0
1,1,21,8.502,7.602,2.2,24.884306,165.76268,45,0
1,1,22,8.452,7.602,2.3,22.79684,164.4274,45.36,0
1,1,23,9.102,8.252,0.4,21.566975,194.5002,43.56,0
1,2,0,10.252,8.952,0,25.9225,242.72331,46.8,0
1,2,1,10.252,8.802,0,23.000591,252.69939,46.079998,0
1,2,2,9.102,7.702,0,20.63023,240.75127,41.399998,0
1,2,3,8.802,7.452,0,21.166653,228.44748,38.88,0
1,2,4,8.952,7.602,0,20.87379,224.9999,38.16,0
1,2,5,9.152,7.802,0,20.12461,227.17476,37.8,0
1,2,6,9.202,7.952,0,19.85556,224.9999,36,0
1,2,7,9.152,8.202,0,17.208603,217.34943,36,0
1,2,8,9.102,8.502,0.2,17.31746,200.69553,30.960001,0
1,2,9,9.102,8.652,0.6,14.113653,185.85593,30.960001,1
1,2,10,8.952,8.502,1,13.089354,148.49579,24.84,1
1,2,11,8.852,8.452,1.6,11.983188,122.73522,24.48,1
1,2,12,8.952,8.652,3.3,16.862455,106.11349,28.8,1
1,2,13,8.752,8.652,2.1,14.205182,81.25392,43.199997,1
1,2,14,10.202,9.602,4.6,15.408671,217.40543,28.8,1
1,2,15,10.502,9.902,1.6,19.8,233.13002,36.719997,1
1,2,16,8.102,6.752,1.9,39.45738,301.94992,73.079994,1
1,2,17,7.502,6.002,1.8,26.867676,287.9495,73.079994,0
1,2,18,7.002,5.452,0.5,20.598795,275.01303,49.32,0
1,2,19,7.252,5.452,0.2,16.299694,263.6599,37.44,0
1,2,20,7.902,6.102,0,23.683512,250.46326,41.760002,0
1,2,21,7.402,5.502,0,24.023088,250.75038,45,0
1,2,22,7.152,5.402,0,22.59699,247.52052,43.56,0
1,2,23,6.902,5.352,0,21.30093,239.53453,41.039997,0
1,3,0,6.602,5.302,0,20.08916,233.74606,38.519997,0
1,3,1,6.602,5.252,0,18.374111,235.37578,35.28,0
1,3,2,6.352,5.252,0,16.831684,228.46832,32.760002,0
1,3,3,6.302,5.202,1.2,18.11841,220.97165,32.760002,0
1,3,4,6.602,5.602,3,18.171976,213.6901,33.839996,0
1,3,5,6.952,5.802,1.7,16.831684,221.53168,32.760002,0
1,3,6,7.052,6.152,0.3,15.124284,218.23386,31.319998,0
1,3,7,6.952,5.702,0,18.11841,220.97165,32.399998,0
1,3,8,6.352,5.202,0,17.377226,219.95749,32.399998,0
1,3,9,6.352,5.402,0,15.856354,219.47243,31.319998,1
1,3,10,7.102,6.002,0,16.055355,222.27362,28.44,1
1,3,11,7.752,6.302,0.1,17.782686,238.24055,32.399998,1
1,3,12,7.802,6.002,0,18.532133,262.18478,34.56,1
1,3,13,7.502,5.902,0.6,19.652176,278.42688,36.719997,1
1,3,14,7.402,5.452,0.6,16.09969,280.30478,38.519997,1
1,3,15,7.452,5.852,0.2,12.24,270,29.16,1
1,3,16,7.202,5.902,0.1,12.599999,270,22.319998,1
1,3,17,6.752,5.752,0.1,12.6462,274.89902,23.039999,0
1,3,18,6.402,5.452,0,13.138765,260.53775,23.039999,0
1,3,19,6.002,5.052,0,14.759999,257.3196,25.919998,0
1,3,20,5.702,4.852,0,15.111424,257.61926,26.64,0
1,3,21,5.652,4.752,0,14.587776,254.24875,27,0
1,3,22,5.502,4.552,0,15.509274,248.19853,27,0
1,3,23,5.452,4.502,0,16.263872,242.30061,28.44,0
1,4,0,5.552,4.652,0,16.75064,241.78273,29.88,0
1,4,1,6.252,5.152,0.1,17.555307,241.85849,31.319998,0
1,4,2,6.252,4.902,0,18.25026,247.98866,32.399998,0
1,4,3,6.152,4.602,0,17.654686,253.41258,32.760002,0
1,4,4,5.602,4.352,0,19.191748,246.80139,33.839996,0
1,4,5,5.252,3.852,0,19.33639,245.82089,35.64,0
1,4,6,4.952,3.7020001,0,16.75064,241.78273,35.28,0
1,4,7,4.502,3.302,0,14.081477,237.52882,30.239998,0
1,4,8,3.852,2.802,0,12.218805,224.9999,25.199999,0
1,4,9,3.602,2.652,0,10.233123,219.28938,21.599998,1
1,4,10,4.302,3.2020001,0,13.37825,203.80595,23.4,1
1,4,11,5.102,3.902,0,9.028754,203.49858,23.759998,1
1,4,12,5.952,4.452,0,8.473393,192.26476,16.56,1
1,4,13,5.752,4.102,0,11.043261,199.0257,21.24,1
1,4,14,5.902,4.502,0,7.42159,194.03627,21.24,1
1,4,15,5.352,4.602,0,4.6800003,202.6199,14.4,1
1,4,16,3.9520001,3.352,0,3.319036,77.4712,5.3999996,1
1,4,17,3.7020001,3.402,0,4.6938252,85.60138,7.92,0
1,4,18,4.002,3.652,0,6.763786,64.79892,11.5199995,0
1,4,19,4.002,3.602,0,8.854829,26.564985,15.119999,0
1,4,20,3.802,3.352,0,8.209263,15.255177,15.84,0
1,4,21,3.602,3.152,0,12.015589,351.38443,20.880001,0
1,4,22,3.552,3.102,0,14.145756,345.25638,24.84,0
1,4,23,3.502,3.052,0,14.689589,342.8972,26.28,0
1,5,0,3.552,2.602,0,14.458382,341.1138,25.919998,0
1,5,1,3.752,2.902,0.1,14.57889,327.09476,25.919998,0
1,5,2,3.9520001,3.152,0.1,16.135872,321.34018,28.8,0
1,5,3,4.102,3.552,0,16.323528,318.57642,29.519999,0
1,5,4,3.802,3.352,0,15.281989,313.09085,29.519999,0
1,5,5,3.402,3.152,0,14.904173,307.14676,27.72,0
1,5,6,3.7020001,3.302,0,15.696165,306.60718,28.08,0
1,5,7,3.902,3.352,0,15.408671,307.40543,28.8,0
1,5,8,3.852,3.252,0,14.84318,309.09384,28.44,0
1,5,9,4.002,3.402,0,14.529915,311.98712,27,1
1,5,10,4.252,3.602,0,14.291592,310.91428,26.28,1
1,5,11,4.802,3.802,0,16.299694,313.2101,30.239998,1
1,5,12,5.402,4.002,0,16.039202,314.0907,30.960001,1
1,5,13,6.152,4.352,0,16.08761,310.46216,30.960001,1
1,5,14,6.052,4.202,0,16.039202,314.0907,30.599998,1
1,5,15,6.052,4.102,0,12.496718,311.49637,30.239998,1
1,5,16,5.452,4.102,0,10.44,316.3971,22.319998,1
1,5,17,5.352,4.202,0,11.019764,321.63248,20.16,0
1,5,18,5.402,4.302,0,10.948973,316.33215,19.8,0
1,5,19,4.602,3.852,0,11.480557,311.18582,20.16,0
1,5,20,4.602,3.802,0,12.218805,315.0001,22.319998,0
1,5,21,4.552,3.802,0,11.988594,311.3477,21.599998,0
1,5,22,4.552,3.802,0,12.229406,317.38596,21.96,0
1,5,23,4.252,3.7020001,0,11.753876,319.9698,21.96,0
1,6,0,3.902,3.502,0,11.019764,321.63248,21.24,0
1,6,1,3.302,2.752,0,13.104198,322.81522,24.48,0
1,6,2,2.852,2.352,0,12.261157,319.7637,23.4,0
1,6,3,3.052,2.502,0,12.181624,325.84024,21.96,0
1,6,4,2.902,2.352,0,11.119281,330.9455,21.96,0
1,6,5,2.152,1.7520001,0,11.183201,326.82147,20.16,0
1,6,6,1.6520001,1.5020001,0,10.296251,323.53067,19.8,0
1,6,7,1.452,1.4020001,0,10.691453,315.0001,19.08,0
1,6,8,1.352,1.2520001,0,10.44,313.6029,19.44,0
1,6,9,1.4020001,1.352,0,9.686609,311.98712,19.08,1
1,6,10,1.952,1.802,0,11.183201,326.82147,21.24,1
1,6,11,2.7020001,2.352,0,9.693296,328.67136,21.599998,1
1,6,12,3.652,2.602,0,10.144082,332.52567,21.24,1
1,6,13,4.952,3.152,0,12.10157,329.62094,24.84,1
1,6,14,5.002,2.9520001,0,11.592895,334.2307,24.119999,1
1,6,15,4.602,2.852,0,9.504273,335.37646,22.68,1
1,6,16,3.102,2.252,0,8.049845,333.43503,16.919998,1
1,6,17,2.2020001,1.602,0,9.504272,322.69595,16.56,0
1,6,18,1.602,1.102,0,9.585739,325.71307,17.64,0
1,6,19,0.95199996,0.45200002,0,7.9036193,329.9315,16.919998,0
1,6,20,0.402,-0.098000005,0,7.42159,337.1663,14.04,0
1,6,21,-0.048,-0.49800003,0,7.42159,337.1663,13.32,0
1,6,22,0.102,-0.198,0,7.8954163,335.77228,14.04,0
1,6,23,0.552,0.352,0,8.699793,335.55606,15.4800005,0
1,7,0,1.052,0.902,0,10.587917,342.18103,18.359999,0
1,7,1,2.9520001,2.2020001,0,11.659777,351.11942,23.039999,0
1,7,2,3.102,2.352,0,11.165805,1.8475709,20.519999,0
1,7,3,3.2020001,2.502,0,12.015589,8.615564,21.96,0
1,7,4,3.252,2.302,0,12.783802,9.727519,22.68,0
1,7,5,2.902,1.9020001,0,12.9249525,12.875007,24.84,0
1,7,6,1.602,1.2520001,0,11.525623,358.21014,23.4,0
1,7,7,1.5020001,1.302,0,11.609651,352.87506,22.319998,0
1,7,8,1.702,1.1520001,0,12.682018,353.4803,21.599998,0
1,7,9,1.6520001,1.202,0,11.570515,354.64426,21.96,1
1,7,10,2.002,1.202,0,11.901798,3.46817,21.96,1
1,7,11,3.052,0.352,0,14.039999,22.61991,26.28,1
1,7,12,3.352,-1.148,0,16.575644,34.3804,31.68,1
1,7,13,3.052,-1.448,0,16.418526,37.875053,31.68,1
1,7,14,2.9520001,-1.698,0,15.408671,37.405437,30.960001,1
1,7,15,2.752,-1.9979999,0,14.689588,36.027473,30.599998,1
1,7,16,2.4520001,-1.898,0,13.392774,36.253937,26.64,1
1,7,17,2.102,-2.0479999,0,13.513193,41.760216,24.48,0
