month,day,hour,temperature_2m,dew_point_2m,rain,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day
1,1,0,7.766,4.166,0,31.810638,264.80566,59.76,0
1,1,1,7.6159997,4.066,0,32.078403,260.9606,56.88,0
1,1,2,7.666,3.7659998,0,31.68818,268.6981,57.239998,0
1,1,3,7.716,3.216,0,32.809414,273.1449,60.839996,0
1,1,4,7.466,2.566,0,32.407997,268.727,57.96,0
1,1,5,7.316,1.716,0,29.522196,270.69867,57.239998,0
1,1,6,7.166,1.316,0,23.770906,268.26434,51.839996,0
1,1,7,7.166,0.916,0,20.192118,258.6901,41.760002,0
1,1,8,7.416,0.866,0,19.13426,258.05585,35.64,0
1,1,9,7.3659997,1.666,0,17.22742,243.97047,33.48,1
1,1,10,7.416,3.0159998,0,16.563911,222.35739,30.239998,1
1,1,11,7.666,3.566,0,17.57744,214.9921,30.960001,1
1,1,12,8.066,4.166,0,14.973577,207.18103,30.599998,1
1,1,13,8.566,5.566,0.1,15.273505,188.13002,28.08,1
1,1,14,8.266,5.966,0.6,17.673029,176.49654,30.239998,1
1,1,15,8.016,6.716,2.3,17.595861,149.23735,31.68,1
1,1,16,8.416,7.316,1.3,21.659916,158.5522,37.44,1
1,1,17,9.566,8.166,1.9,27.0024,180.76389,47.16,0
1,1,18,9.916,8.616,2.1,35.281837,180.58461,61.56,0
1,1,19,9.816,8.766001,2.3,22.691425,181.81827,62.279995,0
1,1,20,10.616,9.116,2.4,24.144165,182.56372,43.199997,0
1,1,21,11.266001,9.766001,2.7,35.757988,196.97559,63.72,0
1,1,22,11.916,10.266001,0.8,32.777794,231.2419,63.72,0
1,1,23,11.916,10.116,0.1,42.9729,254.45013,75.96,0
1,2,0,11.116,9.266001,0,36.509396,257.4712,76.67999,0
1,2,1,11.116,9.716001,0,30.5173,252.84749,65.520004,0
1,2,2,11.016001,9.416,0,25.925,244.50249,53.639996,0
1,2,3,11.116,9.466001,0.1,24.162947,236.54666,45.36,0
1,2,4,11.216001,9.466001,0,21.533897,231.78893,42.839996,0
1,2,5,10.966001,9.416,0,19.95972,219.14398,37.8,0
1,2,6,10.766001,9.316,0.2,15.990646,211.18492,34.92,0
1,2,7,10.366,9.216001,0.8,11.5199995,180,28.08,0
1,2,8,10.416,9.716001,1.3,14.986553,155.89777,25.56,0
1,2,9,11.116,10.516001,1.2,19.255793,159.19313,31.319998,1
1,2,10,12.166,10.966001,1.6,29.69727,186.2634,51.839996,1
1,2,11,12.766001,11.316,1.8,32.19938,206.56499,56.519997,1
1,2,12,13.316,11.566,0.1,32.359974,212.27562,58.32,1
1,2,13,12.616,10.966001,0.1,30.154163,213.31064,56.16,1
1,2,14,10.416,8.766001,0.7,53.65812,258.38855,97.92,1
1,2,15,9.966001,7.816,0.1,47.9895,266.1288,99.72,1
1,2,16,9.766001,7.466,0.2,40.872288,264.44016,83.88,1
1,2,17,9.666,7.766,0.1,40.12668,260.70676,73.799995,0
1,2,18,9.316,7.516,0.1,36.860905,257.5926,70.92,0
1,2,19,9.166,7.516,0.1,33.72491,253.8865,65.520004,0
1,2,20,9.216001,7.316,0,34.275703,252.89719,61.920002,0
1,2,21,9.316,7.266,0,29.07989,248.19853,60.479996,0
1,2,22,9.266001,7.416,0.2,27.532352,242.76494,50.76,0
1,2,23,9.016001,7.1159997,0,24.344624,231.6048,47.88,0
1,3,0,9.066,7.016,0,25.02971,229.66693,43.92,0
1,3,1,9.016001,7.166,0.2,23.199759,228.14505,40.68,0
1,3,2,9.316,7.216,0.3,23.185787,233.84172,41.399998,0
1,3,3,9.066,6.816,0.3,26.178707,238.49579,47.519997,0
1,3,4,8.716001,6.316,0,26.712873,232.66673,46.8,0
1,3,5,8.316,6.1159997,0,24.485292,228.57643,46.8,0
1,3,6,8.666,6.6159997,0.1,24.29133,230.4119,43.199997,0
1,3,7,8.616,6.566,0.1,24.569836,230.94687,44.28,0
1,3,8,8.566,6.716,0.1,22.45315,228.90059,42.839996,0
1,3,9,8.566,6.966,0.3,23.966375,237.26477,43.199997,1
1,3,10,8.716001,6.816,0.1,26.081993,243.78868,45.36,1
1,3,11,8.966001,6.916,0,25.161398,250.78723,45.719997,1
1,3,12,9.566,7.166,0.1,23.936617,257.84506,46.44,1
1,3,13,9.566,7.316,0.3,23.857979,264.80566,51.839996,1
1,3,14,9.466001,7.3659997,0.1,24.251284,264.0356,44.28,1
1,3,15,9.116,7.1159997,0.1,24.503809,259.8458,43.92,1
1,3,16,8.616,6.8659997,0,22.35481,255.06853,43.56,1
1,3,17,8.166,6.8659997,0,20.478907,259.8754,39.239998,0
1,3,18,7.8659997,6.6159997,0,20.991426,264.09396,37.079998,0
1,3,19,7.766,6.316,0,20.674158,262.99884,37.079998,0
1,3,20,7.716,6.1159997,0,20.545246,258.887,36.719997,0
1,3,21,7.916,6.316,0,22.35481,255.06853,39.96,0
1,3,22,8.016,6.416,0,23.34455,252.96214,41.399998,0
1,3,23,7.916,6.1159997,0.1,27.943514,255.06853,48.6,0
1,4,0,8.166,6.166,0.1,28.467329,256.84244,51.48,0
1,4,1,7.966,5.666,0,24.031178,261.38443,42.839996,0
1,4,2,7.666,4.816,0,24.336637,262.34946,45.719997,0
1,4,3,7.566,4.766,0,23.233253,257.4712,42.839996,0
1,4,4,7.416,4.566,0,25.417631,254.38895,45,0
1,4,5,7.416,4.066,0,20.431387,255.71887,45,0
1,4,6,7.316,4.316,0,15.315873,246.44772,36,0
1,4,7,6.066,4.366,0,10.97262,221.00899,27,0
1,4,8,5.316,3.7659998,0,13.1041975,195.94547,21.599998,0
1,4,9,5.466,3.6160002,0,10.446206,181.97488,23.039999,1
1,4,10,6.416,4.216,0,12.620554,176.72958,21.24,1
1,4,11,7.216,5.066,0,9.904906,160.90642,21.24,1
1,4,12,7.716,5.8659997,0,10.97262,138.99101,17.64,1
1,4,13,7.3659997,5.916,0,9.178235,101.3099,15.119999,1
1,4,14,7.516,5.966,0.1,9.826088,81.57312,17.28,1
1,4,15,7.216,5.466,0.3,15.905319,84.805664,26.64,1
1,4,16,6.916,5.266,1.1,13.854155,65.432846,28.44,1
1,4,17,6.566,4.8659997,1.5,15.7908325,46.8476,27.72,0
1,4,18,6.016,4.366,1.7,19.969458,27.950872,35.28,0
1,4,19,5.6159997,4.266,1.8,18.25026,22.01134,37.079998,0
1,4,20,5.716,4.416,1.1,18.0036,358.85425,32.399998,0
1,4,21,5.716,4.716,0.4,17.992796,340.11475,32.399998,0
1,4,22,5.6159997,4.566,0.2,18.359999,331.9276,34.56,0
1,4,23,5.666,4.166,0.1,16.641972,321.1466,32.399998,0
1,5,0,5.6159997,4.116,0,14.480773,304.8754,29.519999,0
1,5,1,5.666,4.266,0,13.363711,297.25525,24.48,0
1,5,2,5.266,3.916,0,11.726277,287.87878,23.4,0
1,5,3,4.816,3.666,0,9.885262,280.49142,20.519999,0
1,5,4,4.716,3.666,0,9.885262,280.49142,18.359999,0
1,5,5,4.716,3.666,0,9.531505,280.88547,17.28,0
1,5,6,4.716,3.666,0,9.3669195,272.20255,16.919998,0
1,5,7,4.516,3.566,0,9.3876505,265.60138,16.56,0
1,5,8,4.266,3.316,0,8.28,270,16.56,0
1,5,9,4.316,3.2659998,0,9.028754,274.57382,15.4800005,1
1,5,10,5.166,3.916,0,10.829959,285.4222,18.359999,1
