month,day,hour,temperature_2m,dew_point_2m,rain,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day
1,1,0,7.752,3.802,0,27.105392,239.68887,45.719997,0
1,1,1,8.152,3.602,0,32.535713,245.13632,55.44,0
1,1,2,7.202,3.302,0,28.691795,252.47433,56.16,0
1,1,3,6.702,3.252,0,27.14123,248.19853,48.96,0
1,1,4,6.552,3.152,0,27.558228,250.1447,47.16,0
1,1,5,6.452,2.902,0,28.241077,252.95088,48.239998,0
1,1,6,6.252,2.652,0,28.038431,254.3577,48.6,0
1,1,7,5.952,2.252,0,27.553526,252.51192,47.88,0
1,1,8,5.652,1.4020001,0,25.501621,251.0534,46.44,0
1,1,9,5.602,1.202,0,23.683512,250.46326,43.56,1
1,1,10,6.152,1.6520001,0,22.406927,246.3179,40.32,1
1,1,11,7.102,1.452,0,25.20257,248.19853,46.079998,1
1,1,12,7.752,1.6520001,0,21.611996,240.01845,42.839996,1
1,1,13,7.552,2.902,0,19.373219,228.01286,39.239998,1
1,1,14,7.602,3.302,0,17.654688,219.20718,33.48,1
1,1,15,7.302,3.852,0,14.707222,201.54105,29.519999,1
1,1,16,6.352,4.052,0,14.417988,182.86235,25.199999,0
1,1,17,6.802,4.502,0.8,18.391735,176.6336,30.960001,0
1,1,18,7.152,5.602,1.8,17.399586,155.55606,30.599998,0
1,1,19,7.502,6.152,1,24.315327,154.57317,40.68,0
1,1,20,8.352,6.952,1,26.717722,165.96373,45,0
1,1,21,8.902,7.402,1.3,29.68636,165.96373,50.399998,0
1,1,22,9.102,7.702,1.6,31.796375,164.23276,53.639996,0
1,1,23,9.302,7.902,1.8,28.137632,163.65175,56.519997,0
1,2,0,10.152,8.702,0.8,30.599998,188.79733,56.88,0
1,2,1,11.252,9.652,0.1,26.42753,217.8066,47.88,0
1,2,2,11.702,9.902,0,29.947153,242.81897,50.76,0
1,2,3,10.852,9.152,0,24.344624,246.46764,50.76,0
1,2,4,10.352,8.802,0,25.264202,237.21573,42.12,0
1,2,5,10.202,8.452,0,25.068514,234.94049,43.56,0
1,2,6,10.402,8.702,0,22.915916,226.27295,42.12,0
1,2,7,10.652,8.752,0,20.633371,222.87889,38.88,0
1,2,8,10.352,8.702,0,17.414474,209.7448,34.2,0
1,2,9,10.252,8.802,0.1,17.298738,192.01146,29.16,1
1,2,10,10.252,9.202,0.9,15.226764,173.21112,29.16,1
1,2,11,10.452,9.702,1.3,16.179987,147.72438,26.64,1
1,2,12,10.902,10.052,2.5,20.799152,156.54095,34.56,1
1,2,13,11.752,10.302,1.2,31.780067,184.54796,54,1
1,2,14,12.052,10.402,1,26.901417,195.52417,54,1
