month,day,hour,temperature_2m,dew_point_2m,rain,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day
1,1,0,7.696,3.546,0,37.44,270,63.36,0
1,1,1,7.746,3.4959998,0,37.095722,268.3317,61.920002,0
1,1,2,7.496,3.396,0,38.52168,270.53543,64.799995,0
1,1,3,7.496,2.846,0,36.40453,272.83405,64.439995,0
1,1,4,7.296,2.296,0,32.09052,273.21542,61.199997,0
1,1,5,7.196,1.646,0,31.1686,276.63242,54.36,0
1,1,6,7.046,1.0960001,0,27.645092,278.23553,51.839996,0
1,1,7,6.896,0.346,0,21.626984,272.86234,46.44,0
1,1,8,6.696,0.49600002,0,16.981165,265.13556,36.719997,0
1,1,9,6.796,0.796,0,13.797913,254.87593,28.44,1
1,1,10,8.146,2.596,0,15.990646,238.81508,26.28,1
1,1,11,8.596,4.546,0,20.111729,225.72514,34.2,1
1,1,12,8.146,4.8459997,0.1,14.512064,203.38524,34.92,1
1,1,13,8.246,5.8459997,0.1,16.203999,178.727,27.359999,1
1,1,14,8.296,5.646,0.5,19.70815,170.53775,33.48,1
1,1,15,7.9960003,6.5959997,0.9,20.87379,147.6804,34.92,1
1,1,16,8.446,7.196,2.9,23.871555,156.91484,40.68,1
1,1,17,9.496,8.096,1.8,24.993439,168.3664,42.12,0
1,1,18,9.796,8.446,3.3,25.932495,193.65044,51.48,0
1,1,19,10.396,8.746,2,26.476522,191.76826,43.92,0
1,1,20,10.446,8.696,2.9,24.50381,177.47394,45.36,0
1,1,21,10.696,9.396,6.7,29.548521,202.19034,50.76,0
1,1,22,11.896,10.596,0.8,40.786587,249.3255,67.67999,0
1,1,23,11.746,9.596,0,43.738148,261.00293,75.24,0
1,2,0,11.046,8.946,0,36.537785,264.34567,74.159996,0
1,2,1,11.146,9.546,0,31.700449,254.85896,63.36,0
1,2,2,11.046,9.396,0,31.771912,250.12773,54,0
1,2,3,11.196,9.446,0,32.427986,247.13545,55.8,0
1,2,4,11.146,9.446,0,26.302181,239.5743,54.36,0
1,2,5,10.796,9.296,0,20.364674,224.9999,43.92,0
1,2,6,10.596,9.196,0.2,14.336861,208.49554,33.839996,0
1,2,7,10.246,9.196,0.8,12.6462,184.899,23.4,0
1,2,8,9.996,9.146,1.4,16.394829,160.76924,26.64,0
1,2,9,10.446,9.896,1.9,19.171478,145.71307,36,1
1,2,10,11.246,10.246,2.9,25.982424,183.97241,49.32,1
1,2,11,12.096,10.496,2.4,28.056913,213.48619,46.079998,1
1,2,12,12.496,11.146,0.4,29.784426,224.51036,54.719997,1
1,2,13,11.696,10.396,1.2,30.293522,224.5186,48.6,1
1,2,14,10.396,8.496,0.7,52.659767,266.4726,88.2,1
1,2,15,9.846,7.446,0.2,40.334457,271.5343,90,1
1,2,16,9.796,7.646,0,39.834938,263.77426,68.76,1
1,2,17,9.646,7.3459997,0,40.5907,263.3793,69.12,0
1,2,18,9.096,6.646,0,37.97104,264.55975,68.76,0
1,2,19,9.146,7.046,0,32.902103,252.1597,62.279995,0
1,2,20,8.896,7.0959997,0.1,30.312773,254.14801,55.079998,0
1,2,21,9.046,7.046,0,29.869154,254.62369,50.76,0
1,2,22,9.296,7.046,0,30.21642,248.32529,52.199997,0
1,2,23,8.946,6.896,0,28.33957,244.41153,51.12,0
1,3,0,9.096,6.796,0,28.84721,240.87604,48.239998,0
1,3,1,8.946,7.296,0.5,23.113008,232.59456,41.399998,0
1,3,2,9.396,7.296,0.5,28.99062,241.8439,48.96,0
1,3,3,9.496,6.796,0,30.77105,241.33614,52.199997,0
1,3,4,9.146,6.196,0.1,31.259941,241.07367,57.6,0
1,3,5,8.696,6.146,0.1,30.77737,245.83337,54,0
1,3,6,8.996,6.146,0,31.235058,244.02565,54.719997,0
1,3,7,8.196,5.8459997,0.1,28.277763,248.33397,52.56,0
1,3,8,8.646,6.3459997,0,27.56058,246.1135,47.16,0
1,3,9,8.246,5.8459997,0.1,29.749592,248.71352,48.96,1
1,3,10,8.696,6.146,0,24.1388,252.64589,50.399998,1
1,3,11,9.446,6.446,0,19.134262,265.68405,39.96,1
1,3,12,9.746,6.446,0,17.298738,257.98856,33.48,1
1,3,13,9.946,6.496,0,21.96295,269.06082,37.079998,1
1,3,14,9.746,6.796,0,19.852295,265.84042,38.519997,1
1,3,15,9.446,6.796,0,19.35314,260.36252,34.2,1
1,3,16,8.896,6.446,0,15.941944,263.51703,32.399998,1
1,3,17,7.9960003,6.146,0,15.5843,263.36758,26.64,0
1,3,18,7.896,5.996,0,18,270,30.239998,0
1,3,19,7.5959997,5.646,0,15.84409,268.6981,30.239998,0
1,3,20,7.396,5.496,0,14.578888,249.77505,26.28,0
1,3,21,7.696,5.996,0,16.327497,255.96373,27.72,0
1,3,22,7.946,5.796,0,18.079027,257.34744,30.239998,0
1,3,23,8.196,5.746,0,21.175835,252.18102,35.28,0
1,4,0,7.896,5.5959997,0,23.933908,254.29129,38.519997,0
1,4,1,7.5959997,4.746,0,24.216522,264.88278,39.96,0
1,4,2,7.446,4.3459997,0,19.803272,268.9584,40.32,0
1,4,3,7.396,3.596,0,21.129883,256.2005,34.2,0
1,4,4,7.246,3.346,0,21.749481,257.57407,37.44,0
1,4,5,7.146,3.396,0,16.981165,265.13556,35.64,0
1,4,6,6.796,3.1959999,0,12.224107,256.373,28.08,0
1,4,7,6.3459997,3.096,0,7.5599995,270,19.8,0
1,4,8,5.3459997,2.796,0,7.7043357,232.59457,11.159999,0
1,4,9,6.246,4.796,0,4.802999,167.00539,9.36,1
1,4,10,7.146,5.696,0,10.739833,166.42955,17.64,1
1,4,11,7.5959997,5.5959997,0,7.10031,149.53453,17.64,1
1,4,12,7.696,5.246,0,8.669949,138.36655,15.4800005,1
1,4,13,7.046,5.396,0,8.161764,48.57643,14.759999,1
1,4,14,6.896,5.496,0.2,12.682018,34.592358,21.599998,1
1,4,15,6.896,5.146,0.3,14.904173,37.146767,24.84,1
1,4,16,6.5959997,4.746,0.2,16.904673,26.564985,28.44,1
1,4,17,6.446,4.696,0.4,16.42247,26.003298,28.8,0
1,4,18,6.546,4.496,0.5,17.462782,14.322761,28.8,0
1,4,19,6.196,4.446,0.4,17.373497,5.946777,30.239998,0
1,4,20,6.246,4.3459997,0.2,14.113653,354.14407,28.44,0
1,4,21,6.196,3.9959998,0.1,14.20062,329.53452,23.759998,0
1,4,22,5.8459997,3.646,0,14.003028,313.95847,25.199999,0
1,4,23,5.546,3.1959999,0,13.979872,304.50858,23.4,0
1,5,0,5.246,2.9459999,0,12.7279215,298.7397,23.759998,0
1,5,1,5.3459997,3.2459998,0,11.923557,298.88647,21.599998,0
1,5,2,5.046,3.046,0,11.298495,292.47946,20.16,0
1,5,3,4.746,2.9459999,0,11.013882,281.3099,19.44,0
1,5,4,4.496,2.846,0,10.390226,284.03625,18.72,0
1,5,5,4.146,2.6959999,0,9.360001,292.6199,17.28,0
1,5,6,4.246,2.7459998,0,8.854829,296.56497,16.199999,0
1,5,7,3.896,2.4459999,0,8.534353,297.64587,14.759999,0
1,5,8,3.796,2.1959999,0,9.511088,299.4758,16.199999,0
1,5,9,4.246,2.546,0,11.183201,303.17853,18,1
1,5,10,5.046,3.346,0,11.525623,308.65982,18.72,1
1,5,11,6.296,4.396,0,8.435069,309.8055,19.08,1
1,5,12,7.296,4.546,0,11.090103,324.24603,19.8,1
1,5,13,7.9960003,4.696,0,14.113652,322.25314,27,1
1,5,14,8.296,4.0959997,0,13.276144,319.39877,25.56,1
1,5,15,7.9960003,4.696,0,8.217153,298.8107,23.4,1
1,5,16,6.796,4.0959997,0,8.557102,292.24908,14.4,1
1,5,17,5.496,3.346,0,8.766573,289.1791,14.4,0
1,5,18,5.046,2.9459999,0,9.19939,300.57913,14.759999,0
1,5,19,5.196,2.846,0,11.183201,326.82147,18.359999,0
1,5,20,4.8459997,2.646,0,9.726664,321.009,18.359999,0
1,5,21,4.696,2.4459999,0,8.404285,313.26434,15.4800005,0
1,5,22,4.546,2.1959999,0,9.686609,318.01288,15.119999,0
1,5,23,4.496,2.096,0,11.592894,323.8417,18.72,0
1,6,0,4.3459997,1.9959999,0,12.682018,325.40765,20.519999,0
1,6,1,4.546,2.1959999,0,14.904173,322.85324,24.84,0
1,6,2,4.396,2.046,0,13.684735,324.63745,24.84,0
1,6,3,3.896,1.646,0,11.988594,318.6523,21.96,0
1,6,4,3.546,1.396,0,11.966954,313.7812,20.16,0
1,6,5,3.296,1.146,0,11.212135,312.39737,19.44,0
1,6,6,2.9959998,1.046,0,10.296251,306.46933,18.359999,0
1,6,7,2.9459999,1.046,0,9.021574,298.61035,16.919998,0
1,6,8,2.9459999,0.99600005,0,8.287822,304.3804,14.759999,0
1,6,9,3.1959999,1.246,0,7.145796,310.91428,12.959999,1
1,6,10,4.746,2.4959998,0,7.289445,327.09476,11.5199995,1
1,6,11,6.0959997,3.146,0,6.379216,343.61038,13.32,1
1,6,12,6.796,3.7459998,0,3.0547013,315.0001,12.24,1
1,6,13,7.696,3.896,0,4.39436,325.0079,10.799999,1
1,6,14,7.8459997,3.7459998,0,6.439876,333.43503,13.679999,1
1,6,15,7.546,4.046,0,6.519877,353.6599,13.32,1
1,6,16,6.496,3.7459998,0,6.2145634,349.99207,11.879999,1
1,6,17,5.0959997,2.4459999,0,6.8777895,317.1211,10.08,0
1,6,18,4.0959997,1.896,0,10.233123,320.7106,15.84,0
1,6,19,3.7459998,1.546,0,10.495713,337.8336,16.919998,0
1,6,20,3.646,1.296,0,10.483357,344.05453,16.919998,0
1,6,21,3.346,1.0960001,0,10.308831,347.90527,16.919998,0
1,6,22,3.046,0.896,0,10.446206,358.0251,16.56,0
1,6,23,2.7459998,0.74600005,0,9.826088,8.426887,16.919998,0
1,7,0,2.396,0.446,0,9.565437,19.798973,15.84,0
1,7,1,2.646,0.646,0,11.367109,10.954029,19.08,0
1,7,2,2.4459999,0.49600002,0,11.792404,12.339083,19.44,0
1,7,3,2.146,0.296,0,10.636766,23.962492,19.08,0
1,7,4,1.946,0.446,0,13.363711,27.255245,21.599998,0
1,7,5,2.796,1.446,0,16.45007,23.198618,26.64,0
1,7,6,3.046,1.546,0,18.837322,26.075302,31.68,0
1,7,7,3.296,1.546,0,18.532135,29.054508,31.68,0
1,7,8,3.296,1.196,0,17.782686,31.75944,30.960001,0
1,7,9,3.146,0.99600005,0,15.077082,33.310646,30.239998,1
1,7,10,3.346,1.146,0,13.849477,27.897186,25.199999,1
1,7,11,3.9959998,1.196,0,17.713316,37.568665,30.960001,1
1,7,12,4.246,1.246,0,16.78156,35.39489,31.68,1
1,7,13,4.796,-0.254,0,19.862083,43.53127,37.079998,1
1,7,14,4.796,-1.254,0,19.107151,42.709366,35.64,1
1,7,15,4.496,-0.804,0,18.335276,43.408916,36,1
1,7,16,3.796,-0.954,0,17.84816,41.729427,31.68,1
1,7,17,3.2459998,-1.354,0,18.335276,43.408916,30.960001,0
1,7,18,2.9459999,-1.754,0,19.134262,48.814175,32.039997,0
1,7,19,2.6959999,-1.954,0,20.380579,54.344578,33.839996,0
1,7,20,2.646,-2.404,0,20.808498,52.73353,35.28,0
1,7,21,2.396,-2.5040002,0,19.107151,42.709366,35.28,0
1,7,22,2.1959999,-2.604,0,20.08916,36.253937,33.48,0
1,7,23,1.5960001,-2.854,0,20.523157,37.875053,34.56,0
1,8,0,1.646,-2.7540002,0,19.373219,41.98713,34.56,0
1,8,1,2.596,-2.0540001,0,22.657131,45.64367,39.239998,0
1,8,2,2.4459999,-1.854,0,21.67487,57.89378,38.88,0
1,8,3,2.2459998,-1.754,0,21.178896,58.201138,36.719997,0
1,8,4,1.896,-2.104,0,22.065973,61.762657,37.44,0
1,8,5,2.046,-2.354,0,22.057161,63.853214,37.8,0
1,8,6,2.1959999,-2.604,0,21.575987,64.2901,37.8,0
1,8,7,2.096,-2.604,0,20.288164,62.525658,36.36,0
1,8,8,1.796,-2.0540001,0,17.81909,44.999897,34.2,0
1,8,9,1.646,-2.604,0,18.584509,45.78474,31.319998,1
1,8,10,2.146,-1.804,0,18.35647,41.82009,32.399998,1
1,8,11,3.296,-1.954,0,22.728518,60.592903,39.239998,1
1,8,12,3.146,-1.454,0.1,26.178707,58.495792,46.079998,1
1,8,13,3.346,-2.2540002,0,26.865265,57.58772,48.96,1
1,8,14,3.2459998,-2.854,0,25.772078,61.645138,49.32,1
1,8,15,3.296,-2.704,0,25.189713,59.03632,46.079998,1
1,8,16,3.046,-3.0040002,0,21.313093,52.549347,43.199997,1
1,8,17,1.496,-2.004,0,21.142147,42.92997,36.36,0
1,8,18,1.196,-1.854,0,25.582806,50.710617,43.199997,0
1,8,19,1.246,-2.2540002,0,23.977188,48.65233,42.839996,0
1,8,20,1.5960001,-2.2540002,0,25.41763,52.480812,43.199997,0
1,8,21,1.646,-2.104,0,26.564486,63.435013,45,0
1,8,22,0.99600005,-2.954,0,24.651457,61.189304,45.36,0
1,8,23,1.146,-3.704,0,24.514387,60.04649,42.12,0
1,9,0,1.146,-3.854,0,23.847115,61.113514,42.12,0
1,9,1,1.446,-3.354,0,20.94507,61.23244,38.16,0
1,9,2,1.496,-4.004,0,24.57511,58.1726,41.760002,0
1,9,3,1.246,-3.654,0,24.774696,54.46224,43.199997,0
1,9,4,1.246,-3.404,0,26.072052,54.55421,44.28,0
1,9,5,1.3460001,-3.204,0,26.486313,58.90276,45.36,0
1,9,6,1.296,-2.954,0,24.774696,54.46224,45.36,0
1,9,7,1.396,-2.954,0,24.912935,52.633263,42.839996,0
1,9,8,1.396,-3.0540001,0,25.41763,52.480812,43.92,0
1,9,9,1.046,-3.104,0,27.155552,51.458797,46.079998,1
1,9,10,1.146,-3.104,0,29.853966,56.309914,52.92,1
1,9,11,1.5960001,-3.154,0,31.367548,58.134064,55.079998,1
1,9,12,2.096,-3.204,0,35.191723,59.23736,60.839996,1
1,9,13,2.9959998,-2.654,0,36.452553,55.054264,64.439995,1
1,9,14,3.296,-2.604,0,29.871325,49.398785,63.36,1
1,9,15,2.9459999,-2.454,0,29.836594,41.576035,52.199997,1
1,9,16,2.4459999,-3.5540001,0,29.52878,44.999897,52.199997,1
1,9,17,1.896,-4.304,0,29.275326,45.498146,49.68,0
1,9,18,1.546,-5.004,0,30.293522,44.5186,51.12,0
1,9,19,1.196,-5.4040003,0,30.551254,45.954758,51.839996,0
1,9,20,0.796,-5.604,0,30.293522,44.5186,51.839996,0
1,9,21,0.59599996,-5.704,0,30.037897,44.999897,51.48,0
1,9,22,0.446,-5.604,0,28.766228,45.50697,51.12,0
1,9,23,0.396,-4.854,0,28.775238,46.52072,48.96,0
1,10,0,0.446,-4.054,0,28.348713,49.635548,48.96,0
1,10,1,1.146,-1.1539999,0,30.344818,48.366554,52.92,0
1,10,2,1.396,-1.104,0,29.568253,47.961018,51.839996,0
1,10,3,1.296,-1.204,0,28.766228,45.50697,50.76,0
1,10,4,1.196,-1.4039999,0,28.257132,44.483906,48.96,0
1,10,5,1.196,-1.554,0,28.001427,44.999897,48.6,0
1,10,6,1.196,-1.604,0,27.492311,44.999897,47.519997,0
1,10,7,1.246,-1.504,0,27.238943,44.464615,46.8,0
1,10,8,1.296,-1.4039999,0,26.729847,44.45441,46.44,0
1,10,9,1.446,-1.254,0,24.951921,43.83095,45,1
1,10,10,2.296,-0.854,0,24.693481,44.409416,42.48,1
1,10,11,3.1959999,-0.604,0,24.216522,41.98713,42.839996,1
1,10,12,4.0959997,-0.354,0,26.044699,40.515305,45.719997,1
1,10,13,4.446,-0.104,0,31.828968,43.62524,58.32,1
1,10,14,4.646,-0.054,0,28.954834,38.43733,55.8,1
1,10,15,4.696,0.046000004,0,27.661497,38.65983,51.48,1
1,10,16,4.396,0.84599996,0,24.162947,33.453342,46.8,1
1,10,17,4.196,1.0960001,0,24.514387,29.953526,41.399998,0
1,10,18,4.146,1.296,0,25.376808,31.660704,42.48,0
1,10,19,4.196,1.8460001,0,25.570139,35.256443,43.92,0
1,10,20,4.0959997,1.696,0,25.460934,43.854324,43.92,0
1,10,21,3.9959998,1.146,0,25.460934,46.145676,43.56,0
1,10,22,3.2459998,0.396,0,25.212852,43.26433,43.199997,0
1,10,23,2.546,-0.054,0,24.693481,45.590588,42.839996,0
1,11,0,2.096,-0.254,0,23.950148,47.43669,41.760002,0
1,11,1,2.2459998,-0.254,0,24.184391,45.60303,41.399998,0
1,11,2,2.046,-0.404,0,26.31942,40.006195,44.28,0
1,11,3,1.8460001,-0.504,0,26.044699,40.515305,45.36,0
1,11,4,1.646,-0.554,0,24.72495,42.04915,44.639996,0
1,11,5,1.5960001,-0.504,0,23.675303,44.384018,41.760002,0
1,11,6,1.796,-0.254,0,23.166216,44.370483,39.96,0
1,11,7,1.9959999,-0.154,0,23.686249,43.152412,40.32,0
1,11,8,1.9959999,-0.204,0,22.932877,42.455162,40.32,0
1,11,9,1.796,-0.30400002,0,22.45315,41.09941,38.519997,1
1,11,10,2.546,0.046000004,0,22.159746,43.02507,38.519997,1
1,11,11,3.6959999,0.49600002,0,23.1774,46.888172,39.6,1
1,11,12,4.5959997,0.59599996,0,26.250393,47.77924,46.079998,1
1,11,13,4.696,0.146,0,24.72495,42.04915,44.28,1
1,11,14,4.746,0.346,0,26.552288,40.601215,46.44,1
1,11,15,4.646,0.74600005,0,25.582806,39.289394,47.88,1
1,11,16,4.746,0.796,0,23.441502,42.510403,44.28,1
1,11,17,4.896,1.696,0,20.421871,49.28924,38.88,0
1,11,18,5.196,2.346,0,19.862083,43.53127,33.839996,0
1,11,19,5.3459997,2.4459999,0,19.107151,42.709366,33.839996,0
1,11,20,5.496,2.4959998,0,19.373219,41.98713,32.399998,0
1,11,21,5.196,2.546,0,21.38897,46.363857,35.28,0
1,11,22,4.896,2.4959998,0,19.914215,49.398785,35.64,0
1,11,23,5.046,2.596,0,16.870138,39.805527,33.12,0
1,12,0,5.3459997,2.6959999,0,16.992609,36.38445,28.8,0
1,12,1,4.796,2.296,0,16.1198,29.427368,27,0
1,12,2,4.746,2.296,0,15.807239,30.068504,27.359999,0
1,12,3,4.696,2.296,0,16.375053,33.340725,27,0
1,12,4,4.646,2.296,0,16.78156,35.39489,28.8,0
1,12,5,4.446,2.1959999,0,17.208603,37.34943,29.519999,0
1,12,6,4.3459997,2.096,0,17.581125,42.510403,29.88,0
1,12,7,4.246,2.146,0,16.800856,44.999897,29.88,0
1,12,8,4.396,2.096,0,14.336861,38.884502,27.72,0
1,12,9,4.5959997,2.2459998,0,13.979872,34.50859,24.119999,1
1,12,10,4.896,2.2459998,0,16.831684,48.468323,30.239998,1
1,12,11,5.046,2.2459998,0,17.0763,55.304783,32.399998,1
1,12,12,5.196,2.146,0,15.990646,58.81509,30.239998,1
1,12,13,4.946,1.546,0,17.477621,57.619343,32.399998,1
1,12,14,5.0959997,1.696,0,15.876775,57.030594,30.960001,1
1,12,15,5.0959997,1.696,0,13.979872,55.491425,28.08,1
1,12,16,4.946,1.946,0,12.096214,53.471054,25.199999,1
1,12,17,4.646,2.046,0,11.090103,54.246033,20.519999,0
1,12,18,4.496,2.146,0,9.585739,55.713078,18.359999,0
1,12,19,4.446,2.1959999,0,8.942214,49.899166,15.84,0
1,12,20,4.3459997,2.2459998,0,8.435069,50.194473,15.119999,0
1,12,21,4.046,2.2459998,0,7.386582,46.97493,14.04,0
1,12,22,3.896,2.296,0,5.692099,55.304783,12.599999,0
1,12,23,3.7459998,2.4459999,0,3.396233,57.99466,9,0
1,13,0,3.546,2.546,0,2.0991426,30.963696,5.7599998,0
1,13,1,3.2459998,0.946,0,6.924738,351.02744,13.679999,0
1,13,2,3.046,1.246,0,2.9024127,7.12493,11.879999,0
1,13,3,2.546,1.446,0,1.484318,14.036275,4.68,0
1,13,4,1.646,0.796,0,1.835647,348.6901,2.16,0
1,13,5,1.796,0.396,0,7.5599995,360,12.599999,0
1,13,6,1.5960001,-0.404,0,9.47012,8.746089,15.84,0
1,13,7,0.646,-1.554,0,10.587917,17.818983,19.44,0
1,13,8,-0.054,-1.754,0,8.311245,17.650223,18,0
1,13,9,-0.104,-1.9039999,0,8.905908,14.036275,14.4,1
1,13,10,1.3460001,-1.1539999,0,5.6920996,18.435053,15.119999,1
1,13,11,2.1959999,-0.954,0,3.563818,44.999897,11.879999,1
1,13,12,2.4959998,-0.454,0,5.00128,30.256361,12.599999,1
1,13,13,2.6959999,0.046000004,0,7.24486,26.564985,16.199999,1
1,13,14,3.396,0.19600001,0,3.8939953,33.6901,15.4800005,1
1,13,15,3.846,0.346,0,1.1384199,71.564964,10.08,1
1,13,16,3.546,0.696,0,4.73506,188.74608,7.92,1
1,13,17,2.9459999,0.546,0,8.557102,202.24907,14.4,0
1,13,18,2.546,0.59599996,0,8.0899935,237.72438,14.4,0
1,13,19,2.296,0.446,0,10.931203,252.75845,17.64,0
1,13,20,2.1959999,0.146,0,10.464798,266.0549,19.44,0
1,13,21,2.1959999,0.296,0,8.089993,290.85452,18,0
1,13,22,2.4459999,0.546,0,7.771331,256.60748,13.679999,0
1,13,23,2.4959998,0.796,0,12.313893,254.74483,20.519999,0
1,14,0,3.046,1.296,0,13.684735,271.5074,23.4,0
1,14,1,2.846,1.3460001,0,13.276144,282.5288,22.319998,0
1,14,2,3.1959999,1.546,0,11.966954,285.7087,22.319998,0
1,14,3,3.296,1.496,0,10.1887,302.00534,20.16,0
1,14,4,3.4459999,1.646,0,5.815978,291.80148,16.56,0
1,14,5,3.6959999,1.896,0,4.5536795,288.43503,10.08,0
1,14,6,3.646,2.046,0,3.4152596,288.43503,7.5599995,0
1,14,7,3.396,1.8460001,0,4.1046314,285.25516,6.4799995,0
1,14,8,2.4459999,1.146,0,5.692099,304.69522,8.28,0
1,14,9,1.896,0.646,0,7.7043357,307.40543,11.5199995,1
1,14,10,2.796,1.296,0,8.707237,299.74478,15.119999,1
1,14,11,4.5959997,2.4959998,0,9.504272,307.30402,18.359999,1
1,14,12,5.746,2.6959999,0,9.504272,307.30402,19.08,1
1,14,13,5.996,3.2459998,0,7.0911775,246.0375,15.119999,1
1,14,14,6.446,3.1959999,0,11.901798,266.53183,21.24,1
1,14,15,6.396,2.7459998,0,14.24163,290.72565,26.28,1
1,14,16,5.696,2.646,0,13.661038,288.43503,24.48,1
1,14,17,5.046,2.796,0,13.202726,281.00348,23.4,0
1,14,18,5.146,2.846,0,12.413476,286.8585,22.319998,0
1,14,19,4.046,1.446,0,10.296251,306.46933,20.519999,0
1,14,20,2.7459998,0.19600001,0,12.218805,315.0001,19.08,0
1,14,21,1.746,-0.454,0,10.97262,311.009,19.8,0
1,14,22,0.896,-1.254,0,10.739832,309.55963,18,0
1,14,23,0.296,-1.854,0,11.246759,309.8055,18,0
1,15,0,-0.104,-2.3040001,0,12.261157,310.2363,19.8,0
1,15,1,0.346,-1.954,0,12.261157,310.2363,19.8,0
1,15,2,0.49600002,-2.004,0,12.819235,308.15726,20.880001,0
1,15,3,0.696,-1.954,0,12.313894,307.87503,21.24,0
1,15,4,0.346,-2.2540002,0,11.808878,307.56866,20.16,0
1,15,5,-0.30400002,-2.954,0,11.384198,304.69522,19.08,0
1,15,6,-0.704,-4.004,0,9.686609,311.98712,18.359999,0
1,15,7,-0.75399995,-4.604,0,10.182337,315.0001,16.56,0
1,15,8,-0.65400004,-4.604,0,12.984975,316.1232,20.880001,0
1,15,9,0.24599999,-3.604,0,14.799459,318.94528,24.48,1
1,15,10,1.946,-1.854,0,15.379206,327.42596,25.919998,1
1,15,11,3.296,-1.6539999,0,14.799459,341.56494,25.919998,1
1,15,12,3.7459998,-2.704,0,14.264361,349.82455,26.64,1
1,15,13,3.9959998,-3.654,0,9.3876505,355.60138,24.119999,1
1,15,14,3.946,-3.7540002,0,6.1305785,319.7637,18.359999,1
1,15,15,3.7459998,-2.854,0,5.95906,295.01685,12.959999,1
1,15,16,2.646,-1.954,0,5.3517847,289.6539,10.08,1
1,15,17,1.196,-2.604,0,8.0899935,302.27563,12.24,0
1,15,18,-0.104,-3.704,0,10.703569,312.27362,16.919998,0
1,15,19,-1.104,-4.454,0,11.480557,311.18582,18.359999,0
1,15,20,-1.704,-4.854,0,10.195057,312.1375,18.359999,0
1,15,21,-2.004,-5.054,0,9.673221,315.0001,16.56,0
1,15,22,-1.9039999,-5.204,0,10.195057,317.86246,16.919998,0
1,15,23,-2.0540001,-5.254,0,8.435069,320.1945,16.56,0
1,16,0,-2.354,-5.204,0,8.287822,304.3804,13.679999,0
1,16,1,-2.8040001,-5.4040003,0,5.3517847,317.72638,11.159999,0
1,16,2,-2.704,-5.454,0,6.4096174,308.15726,10.440001,0
1,16,3,-2.0540001,-4.804,0,4.6938257,302.47116,10.799999,0
1,16,4,-2.204,-4.504,0,5.3999996,306.86996,6.8399997,0
1,16,5,-2.3040001,-4.954,0,4.68,270,6.4799995,0
1,16,6,-2.204,-4.954,0,4.379589,279.46225,7.2,0
1,16,7,-2.404,-4.804,0,5.1165614,309.28937,6.4799995,0
1,16,8,-1.554,-4.504,0,5.4833565,293.1986,7.2,0
