month,day,hour,temperature_2m,dew_point_2m,rain,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day
1,1,0,4.6335,4.0335,0,4.3349743,265.23645,11.159999,0
1,1,1,5.4335003,4.5835,0.2,14.336861,231.1155,24.119999,0
1,1,2,5.6335,4.6335,0.1,13.570615,248.19853,28.8,0
1,1,3,5.5335,4.7335,0.3,11.966953,263.08887,23.759998,0
1,1,4,5.0335,4.5335,0.4,12.24,270,21.24,0
1,1,5,5.2335,4.4835,1.3,19.08,270,33.48,0
1,1,6,5.1335,3.8335001,0.9,21.349546,275.80664,40.32,0
1,1,7,5.1335,3.7835002,0,16.563911,268.75467,38.88,0
1,1,8,5.2335,3.6835,0.1,17.81909,261.87,32.039997,0
1,1,9,5.1335,3.5835001,0,16.946787,257.73523,32.039997,1
1,1,10,5.1835003,3.5835001,0,16.071491,254.40712,30.239998,1
1,1,11,5.8835,4.0335,0,16.171976,253.17851,28.8,1
1,1,12,6.1335,4.1335,0.1,16.279802,251.96562,29.519999,1
1,1,13,6.4835,4.6335,0.2,13.281023,237.17146,32.399998,1
1,1,14,6.4335003,4.4835,0,8.4963045,216.38445,24.119999,1
1,1,15,5.5335,4.0835,0,6.28713,166.75948,15.119999,1
1,1,16,4.4335003,3.0335002,0,10.315115,150.75127,18,0
1,1,17,4.6835003,2.9835,0,14.003028,133.95847,24.48,0
1,1,18,5.1335,2.8335001,0,18.11841,139.02835,32.399998,0
1,1,19,5.1835003,1.8335,0.2,19.734436,128.33337,36.36,0
1,1,20,5.3835,1.5835,0.2,20.447239,116.11385,36.719997,0
1,1,21,5.1835003,2.9335,0.7,21.749481,114.44395,39.6,0
1,1,22,5.2835,3.2835002,1.5,23.664352,123.20658,42.839996,0
1,1,23,4.6835003,2.9835,3,21.659916,111.44781,44.639996,0
1,2,0,4.9835,3.1835,1.8,18.671474,109.133736,38.88,0
1,2,1,5.0835,2.8335001,1.7,19.164717,118.00909,37.44,0
1,2,2,5.5335,3.6335,0,20.371038,133.56796,36.719997,0
1,2,3,6.0835,4.4335003,0.7,17.654688,159.71736,36.719997,0
1,2,4,8.9335,7.3335,0.9,25.984919,227.24576,43.92,0
1,2,5,9.3335,7.5835,0.2,24.162947,241.5259,50.039997,0
1,2,6,8.3835,6.9835,0.2,15.696165,233.39284,43.199997,0
1,2,7,7.4335003,6.2335,0,10.137692,196.50444,27.72,0
1,2,8,7.0335,5.8335,0,9.3876505,184.39862,18.359999,0
1,2,9,7.0335,5.8835,0,10.08,180,19.44,1
1,2,10,7.6835003,6.5335,0,7.92,180,17.28,1
1,2,11,8.1335,7.0835,0.1,6.1094027,135.0001,14.04,1
1,2,12,8.3335,7.2835,0.5,8.913181,133.36346,15.119999,1
1,2,13,8.6835,7.3835,0.2,11.709688,135.0001,20.519999,1
1,2,14,8.5835,7.4835,0.4,11.384198,145.30478,20.880001,1
1,2,15,8.3835,7.2335,0.4,8.4963045,143.61555,19.44,1
1,2,16,7.3835,6.7335,0.2,5.4477882,187.59456,14.4,0
1,2,17,7.2835,6.7335,0.3,3.6179552,185.7105,6.8399997,0
1,2,18,7.5335,6.8835,0.3,6.130579,183.3664,10.08,0
1,2,19,7.7335,6.6335,0.5,7.2359104,174.2895,12.959999,0
1,2,20,7.6835003,6.3835,1.1,8.64,180,14.4,0
1,2,21,7.7835,6.5835,1.3,9.360001,202.6199,17.64,0
1,2,22,7.7335,6.4835,1.2,8.854829,206.56499,16.56,0
1,2,23,7.6335,6.5835,0.7,9.220499,218.65984,15.84,0
1,3,0,7.6335,6.6835003,0.2,10.296251,233.53067,18,0
1,3,1,7.6835003,6.6835003,0.1,10.97262,228.99101,19.08,0
1,3,2,7.6835003,6.8335,0,11.792404,238.73633,20.880001,0
1,3,3,7.3335,6.4335003,0,8.669949,228.36655,20.880001,0
1,3,4,6.8835,6.0835,0,5.2416787,195.94547,14.759999,0
1,3,5,6.5835,5.7835,0.1,6.519877,173.6599,11.159999,0
1,3,6,6.7835,5.8335,0.1,7.342588,168.69011,12.599999,0
1,3,7,6.4835,5.6835003,0.1,8.049845,169.6952,14.04,0
1,3,8,6.5835,5.8335,0.1,7.9932976,172.23492,14.759999,0
1,3,9,6.3335,5.6335,0.1,7.072878,165.2564,14.04,1
