month,day,hour,temperature_2m,dew_point_2m,rain,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day,month,day,hour
1,1,0,8.219,3.7689998,0,33.26252,260.028,60.479996,0,1,1,0
1,1,1,8.3689995,3.7189999,0,30.811037,263.29025,54.36,0,1,1,1
1,1,2,7.7190003,3.7189999,0,32.2034,264.22577,56.88,0,1,1,2
1,1,3,7.3190002,3.5189998,0,30.413074,263.88458,55.8,0,1,1,3
1,1,4,7.4690003,3.319,0,29.5551,267.20737,52.92,0,1,1,4
1,1,5,7.3190002,2.2689998,0,27.381308,267.73953,51.48,0,1,1,5
1,1,6,7.119,1.769,0,25.959969,266.82022,47.88,0,1,1,6
1,1,7,6.919,1.519,0,22.553936,261.74066,45,0,1,1,7
1,1,8,7.0690002,1.419,0,21.791153,262.40546,40.68,0,1,1,8
1,1,9,7.169,2.119,0,19.734436,255.20319,37.44,1,1,1,9
1,1,10,8.069,2.569,0,18.692286,254.3577,34.2,1,1,1,10
1,1,11,9.219,3.569,0,15.7908325,245.77226,32.399998,1,1,1,11
1,1,12,9.769,3.869,0,16.610792,240.10118,30.239998,1,1,1,12
1,1,13,9.318999,5.019,0.3,21.650938,227.02136,39.239998,1,1,1,13
1,1,14,9.1189995,6.019,0.2,17.57744,214.9921,37.44,1,1,1,14
1,1,15,9.019,6.5690002,0.2,18.35647,205.55992,31.68,1,1,1,15
1,1,16,9.068999,7.619,1.3,28.817993,192.99461,46.079998,1,1,1,16
1,1,17,9.219,7.869,0.9,31.093666,185.31445,54.719997,0,1,1,17
1,1,18,9.519,8.169,1.6,32.831135,183.7722,58.32,0,1,1,18
1,1,19,9.818999,8.419,1.9,35.728977,184.0444,63.36,0,1,1,19
1,1,20,10.1189995,8.769,3.2,43.085846,189.61966,73.079994,0,1,1,20
1,1,21,11.068999,9.3689995,1.6,30.589407,206.56499,75.6,0,1,1,21
1,1,22,11.519,10.068999,3.2,42.351673,215.3113,72.72,0,1,1,22
1,1,23,11.969,10.769,3,43.237484,230.74417,78.479996,0,1,1,23
1,2,0,12.469,10.6189995,0.1,36.969738,247.68051,75.6,0,1,2,0
1,2,1,12.469,10.969,0.1,36.58918,246.20921,67.67999,0,1,2,1
1,2,2,12.019,10.469,0,31.688177,248.68202,63.72,0,1,2,2
1,2,3,11.6189995,10.3689995,0,27.475807,248.47733,55.079998,0,1,2,3
1,2,4,11.3689995,10.419,0,25.772078,245.22488,47.519997,0,1,2,4
1,2,5,11.469,10.318999,0,23.532547,240.6901,45,0,1,2,5
1,2,6,11.469,10.769,0.1,21.142147,227.07004,40.32,0,1,2,6
1,2,7,11.469,11.019,0.5,19.08,211.89075,36.36,0,1,2,7
1,2,8,11.318999,10.8689995,1.7,21.99538,201.10492,36.719997,0,1,2,8
1,2,9,11.969,11.318999,2.2,32.185287,216.3573,53.639996,1,1,2,9
1,2,10,12.419,11.3689995,2.9,40.220234,224.9999,69.12,1,1,2,10
1,2,11,12.318999,11.3689995,4.1,43.35572,215.53777,73.799995,1,1,2,11
1,2,12,12.419,11.3689995,3.1,46.8,216.86998,82.439995,1,1,2,12
1,2,13,12.6189995,11.219,0.6,49.95835,222.07921,86.03999,1,1,2,13
1,2,14,12.068999,9.919,0.5,52.408134,230.29526,92.88,1,1,2,14
1,2,15,11.519,7.669,0,49.749084,251.43384,99.36,1,1,2,15
1,2,16,10.919,7.369,0,38.484653,252.58194,87.479996,1,1,2,16
1,2,17,10.669,7.2190003,0,35.406506,251.01228,70.92,0,1,2,17
1,2,18,10.219,7.119,0,32.587456,253.96759,69.12,0,1,2,18
1,2,19,10.019,6.519,0,30.911821,255.1545,64.799995,0,1,2,19
1,2,20,9.719,6.5690002,0,27.44749,253.2287,57.6,0,1,2,20
1,2,21,9.719,6.869,0,28.460497,251.56496,52.199997,0,1,2,21
1,2,22,9.568999,6.869,0,26.208395,249.07542,51.839996,0,1,2,22
1,2,23,9.669,7.0690002,0,25.20257,248.19853,47.519997,0,1,2,23
1,3,0,9.669,7.5690002,0,26.886963,243.77809,47.88,0,1,3,0
1,3,1,9.519,7.519,1,31.67386,238.47787,54,0,1,3,1
1,3,2,9.419,7.9690003,0.5,28.091534,239.16223,54.36,0,1,3,2
1,3,3,9.3689995,7.869,0.7,27.532352,242.76494,52.199997,0,1,3,3
1,3,4,9.719,7.519,0,28.820242,244.07515,52.199997,0,1,3,4
1,3,5,9.169,6.519,0,29.168886,245.96571,53.639996,0,1,3,5
1,3,6,9.419,6.669,0,31.581665,245.77226,55.079998,0,1,3,6
1,3,7,9.469,6.869,0,29.308508,242.176,54.719997,0,1,3,7
1,3,8,9.419,6.769,0,31.722925,242.27184,55.079998,0,1,3,8
1,3,9,9.6189995,6.9690003,0,31.877792,243.14566,57.6,1,1,3,9
1,3,10,10.1189995,7.019,0,34.45484,243.97047,57.96,1,1,3,10
1,3,11,9.719,6.7190003,0.3,36.55906,244.94905,64.799995,1,1,3,11
1,3,12,10.269,7.169,0,26.427528,245.87901,64.799995,1,1,3,12
1,3,13,10.169,7.769,0.1,26.282465,256.5348,51.839996,1,1,3,13
1,3,14,10.318999,7.4690003,0.1,26.121714,262.8751,49.32,1,1,3,14
1,3,15,9.919,7.119,0,23.857979,264.80566,45.36,1,1,3,15
1,3,16,9.1189995,6.8190002,0,20.5484,266.98727,41.399998,1,1,3,16
1,3,17,8.669,6.8190002,0,18.775301,265.60138,35.64,0,1,3,17
1,3,18,8.3689995,6.419,0,20.5484,266.98727,35.28,0,1,3,18
1,3,19,8.469,6.3190002,0,21.611998,271.90912,37.44,0,1,3,19
1,3,20,7.919,6.169,0,21.9718,271.87784,37.8,0,1,3,20
1,3,21,7.619,6.0690002,0,21.626984,272.86234,38.16,0,1,3,21
1,3,22,7.619,6.019,0,19.8,270,37.44,0,1,3,22
1,3,23,7.4690003,5.9690003,0,21.316135,265.1561,36.719997,0,1,3,23
1,4,0,7.769,5.769,0,24.50381,267.47394,41.760002,0,1,4,0
1,4,1,8.219,5.369,0,24.482647,269.1575,42.839996,0,1,4,1
1,4,2,7.919,5.119,0,23.803596,266.53183,42.48,0,1,4,2
1,4,3,7.4690003,4.519,0,20.892412,268.02512,41.039997,0,1,4,3
1,4,4,6.919,4.019,0,18.03237,266.56644,36,0,1,4,4
1,4,5,6.4690003,3.619,0,16.199999,270,31.319998,0,1,4,5
1,4,6,6.2190003,3.319,0,15.496736,267.33704,28.08,0,1,4,6
1,4,7,5.9690003,3.569,0,12.57426,256.75946,26.28,0,1,4,7
1,4,8,5.919,3.619,0,11.177405,255.06853,21.24,0,1,4,8
1,4,9,6.269,4.0690002,0,7.072878,255.2564,18.72,1,1,4,9
1,4,10,8.019,5.119,0,7.386582,226.97493,12.24,1,1,4,10
1,4,11,8.969,5.869,0,6.12,180,11.879999,1,1,4,11
1,4,12,9.219,6.2190003,0.1,9.504272,142.69597,15.4800005,1,1,4,12
1,4,13,8.6189995,7.369,1.1,12.287555,148.17259,21.96,1,1,4,13
1,4,14,8.919,7.7190003,2.9,13.276144,130.60121,24.119999,1,1,4,14
1,4,15,8.568999,7.619,3.3,21.068459,109.98319,34.2,1,1,4,15
1,4,16,8.6189995,7.769,5.8,29.257614,108.65798,54.36,1,1,4,16
1,4,17,9.568999,8.6189995,6.1,20.68356,148.52321,50.76,0,1,4,17
1,4,18,10.669,8.568999,1.2,35.772484,200.62361,61.199997,0,1,4,18
1,4,19,9.568999,7.919,0.5,23.263912,201.80147,60.120003,0,1,4,19
1,4,20,9.269,7.769,0,22.881958,204.14554,41.039997,0,1,4,20
1,4,21,9.019,8.169,1.4,12.475961,223.83095,38.16,0,1,4,21
1,4,22,6.0690002,5.3190002,1.6,24.490587,358.31534,38.88,0,1,4,22
1,4,23,4.769,3.619,1.1,27.897097,340.3958,49.32,0,1,4,23
1,5,0,4.669,3.569,0.6,32.949345,326.13626,59.039997,0,1,5,0
1,5,1,5.2190003,3.7689998,1.1,32.90408,306.99536,60.839996,0,1,5,1
1,5,2,5.5690002,3.919,0.6,28.40124,300.46545,57.6,0,1,5,2
1,5,3,5.519,4.3190002,0.3,23.263912,291.80148,49.32,0,1,5,3
1,5,4,5.519,4.369,0.2,21.2522,296.13095,40.32,0,1,5,4
1,5,5,5.3190002,4.0690002,0.1,18.792551,290.17075,37.079998,0,1,5,5
1,5,6,5.019,3.919,0,17.462782,284.32275,32.399998,0,1,5,6
1,5,7,4.769,3.669,0,16.418526,285.25516,30.239998,0,1,5,7
1,5,8,4.4690003,3.2189999,0,15.629971,284.67642,28.44,0,1,5,8
1,5,9,4.419,3.0189998,0,14.799459,288.43503,27,1,1,5,9
1,5,10,5.0690002,3.419,0,14.336861,298.49554,25.199999,1,1,5,10
1,5,11,6.119,3.369,0,16.323528,311.42358,29.88,1,1,5,11
1,5,12,6.669,3.869,0,15.546833,312.18436,30.239998,1,1,5,12
1,5,13,7.119,3.819,0,17.208603,322.65057,33.839996,1,1,5,13
1,5,14,7.269,3.7689998,0,15.629971,321.54626,31.68,1,1,5,14
1,5,15,6.9690003,3.9689999,0,11.966954,313.7812,28.08,1,1,5,15
1,5,16,6.2190003,3.7689998,0,9,306.86996,20.519999,1,1,5,16
1,5,17,4.669,3.319,0,8.942214,310.10083,15.4800005,0,1,5,17
1,5,18,4.369,3.2689998,0,8.669949,311.63345,15.4800005,0,1,5,18
1,5,19,4.019,3.2189999,0,8.669949,311.63345,15.119999,0,1,5,19
1,5,20,4.419,3.619,0,9.504272,322.69595,16.199999,0,1,5,20
1,5,21,3.919,3.2189999,0,8.39657,329.03632,16.199999,0,1,5,21
1,5,22,4.3190002,3.569,0,8.78872,325.0079,15.119999,0,1,5,22
1,5,23,4.119,3.369,0,8.891343,328.24057,15.119999,0,1,5,23
1,6,0,3.669,2.869,0,8.4963045,323.61554,15.4800005,0,1,6,0
1,6,1,4.169,3.2189999,0,12.074766,333.43503,20.519999,0,1,6,1
1,6,2,4.019,3.0189998,0,11.770403,336.5713,20.519999,0,1,6,2
1,6,3,3.869,2.869,0,11.113451,335.09525,20.519999,0,1,6,3
1,6,4,3.669,2.7189999,0,11.631956,338.19852,19.44,0,1,6,4
1,6,5,3.7189999,2.869,0,11.792404,347.66092,20.880001,0,1,6,5
1,6,6,3.919,3.2189999,0,12.758432,343.61038,21.96,0,1,6,6
1,6,7,4.119,3.4689999,0,13.009903,345.5792,22.68,0,1,6,7
1,6,8,4.5690002,3.619,0,12.758432,343.61038,22.68,0,1,6,8
1,6,9,4.9690003,3.669,0,12.9249525,347.125,22.68,1,1,6,9
1,6,10,5.419,3.619,0,12.849528,348.6901,23.039999,1,1,6,10
1,6,11,5.9690003,3.5189998,0,14.264361,349.82455,25.919998,1,1,6,11
1,6,12,6.519,3.369,0,16.167967,348.4399,28.8,1,1,6,12
1,6,13,6.7190003,3.419,0,16.65754,353.79663,31.68,1,1,6,13
1,6,14,6.669,3.2689998,0,17.106628,351.52893,30.599998,1,1,6,14
1,6,15,6.169,3.0189998,0,13.5515,343.0091,31.68,1,1,6,15
1,6,16,5.019,2.4689999,0,11.91812,334.98312,23.759998,1,1,6,16
1,6,17,3.919,2.169,0,13.0447235,332.02063,22.68,0,1,6,17
1,6,18,3.569,2.069,0,14.118243,340.6409,24.84,0,1,6,18
1,6,19,2.669,1.6190001,0,12.144331,348.0239,24.48,0,1,6,19
1,6,20,2.369,1.419,0,12.6462,355.10098,21.24,0,1,6,20
1,6,21,2.319,1.419,0,12.605142,358.36346,21.96,0,1,6,21
1,6,22,2.069,1.319,0,12.324414,353.29025,21.599998,0,1,6,22
1,6,23,2.169,1.469,0,13.363711,355.36462,23.039999,0,1,6,23
1,7,0,1.969,1.269,0,11.5199995,360,23.039999,0,1,7,0
1,7,1,3.5189998,2.4689999,0,13.339445,356.906,23.759998,0,1,7,1
1,7,2,4.2190003,2.7689998,0,14.869351,6.9528637,25.56,0,1,7,2
