month,day,hour,temperature_2m,dew_point_2m,rain,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day
1,1,0,2.4819999,2.4819999,0,5.3999996,270,9.72,0
1,1,1,2.032,1.732,0,0.5091169,44.999897,4.32,0
1,1,2,2.432,2.382,0,2.0991426,239.0363,6.4799995,0
1,1,3,3.0319998,2.932,0,4.8965297,216.02747,8.64,0
1,1,4,3.632,3.132,1.9,10.630672,241.69934,18.359999,0
1,1,5,4.182,3.182,0.5,10.948973,242.5925,20.880001,0
1,1,6,3.9819999,3.0319998,0.3,8.209263,232.12495,19.8,0
1,1,7,4.2320004,3.0319998,0.1,10.495713,247.8336,17.64,0
1,1,8,3.882,2.682,0.1,11.435313,241.8215,20.16,0
1,1,9,3.582,2.432,0,11.4862,237.80429,21.24,1
1,1,10,3.932,2.7819998,0,9.673221,224.9999,20.16,1
1,1,11,4.8320003,3.582,0,10.691453,224.9999,18.359999,1
1,1,12,5.432,4.032,0,10.296251,216.46933,18.359999,1
1,1,13,5.882,3.832,0.3,14.565548,219.98683,24.119999,1
1,1,14,5.682,3.932,0,8.905908,194.03627,25.199999,1
1,1,15,4.682,3.432,0,5.815978,158.19853,15.84,1
1,1,16,2.932,1.982,0,6.12,118.072395,11.159999,0
1,1,17,2.882,1.8820001,0,9.449572,107.74477,16.919998,0
1,1,18,2.832,1.832,0,12.074766,100.30479,21.599998,0
1,1,19,3.2319999,2.082,0,15.496736,87.33706,27,0
1,1,20,3.632,2.032,0,17.518356,80.53775,31.68,0
1,1,21,3.682,1.832,0,19.137648,73.61038,34.56,0
1,1,22,3.5319998,1.482,0.1,20.730501,69.67678,37.8,0
1,1,23,3.432,1.682,0.4,22.461807,68.36906,41.399998,0
1,2,0,3.582,1.832,0.6,24.884306,75.76269,45,0
1,2,1,3.5319998,2.182,1.1,22.805367,78.15795,45.36,0
1,2,2,3.432,2.332,1.3,20.948164,70.94221,42.12,0
1,2,3,3.332,2.4819999,1.1,18.331741,70.49747,38.519997,0
1,2,4,3.182,2.4819999,1,15.379206,73.68607,33.12,0
1,2,5,3.0319998,2.382,0.3,15.778518,62.850407,28.08,0
1,2,6,3.332,2.5319998,0,13.905509,68.74943,28.08,0
1,2,7,3.632,2.7319999,0,13.779114,70.1447,24.84,0
1,2,8,3.7819998,2.882,0,12.522619,71.564964,24.119999,0
1,2,9,3.882,2.9819999,0,12.181625,71.0295,21.96,1
1,2,10,4.2320004,3.332,0,11.440979,65.85446,20.880001,1
1,2,11,4.682,3.7819998,0,10.787993,64.2901,19.08,1
1,2,12,5.2320004,4.282,0,11.435313,61.821507,19.8,1
1,2,13,6.782,5.882,0,10.630672,61.69934,19.44,1
