month,day,hour,temperature_2m,dew_point_2m,rain,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day
1,1,0,6.294,4.844,0.6,17.651016,281.76825,31.319998,0
1,1,1,6.594,5.394,0.2,23.510508,281.48196,40.68,0
1,1,2,6.094,4.694,1.1,32.688713,286.6389,60.839996,0
1,1,3,7.094,5.144,0.1,32.49785,274.4473,58.679996,0
1,1,4,6.344,4.494,3.7,31.97319,277.76508,61.56,0
1,1,5,6.344,4.594,1.3,31.569351,277.20596,57.239998,0
1,1,6,6.094,4.244,1.4,32.37999,278.31018,57.6,0
1,1,7,5.744,3.744,0.4,28.528723,280.17545,57.239998,0
1,1,8,5.894,3.744,0.9,28.054604,278.85788,50.76,0
1,1,9,5.944,4.094,0,24.122683,270.85507,49.68,1
1,1,10,6.244,4.344,0.1,22.91026,261.87,42.48,1
1,1,11,6.744,4.394,0.1,22.42427,264.47256,41.039997,1
1,1,12,7.044,3.994,0.1,20.316889,262.8751,40.32,1
1,1,13,7.194,4.044,0.1,17.873556,242.40279,36.36,1
1,1,14,7.094,3.944,0,11.753876,220.0302,32.039997,1
1,1,15,6.194,3.744,0,11.966953,173.08887,20.880001,1
1,1,16,5.594,3.544,0.1,14.77755,145.92276,25.919998,0
1,1,17,5.744,3.144,0,18.289274,126.193306,32.039997,0
1,1,18,5.894,3.244,0.1,22.86496,123.43989,40.68,0
1,1,19,5.944,3.5939999,0.6,27.162708,124.74325,48.239998,0
1,1,20,5.944,4.244,1.9,30.75209,117.16491,54.719997,0
1,1,21,5.944,4.4440002,4.1,37.249126,113.34403,66.96,0
1,1,22,6.144,4.694,3.1,37.84283,115.34614,69.479996,0
1,1,23,6.744,5.394,1.6,35.965782,131.34769,68.4,0
1,2,0,7.344,6.244,0.4,22.768396,145.30478,63.72,0
1,2,1,8.344,7.044,0.5,20.447239,206.11385,43.92,0
1,2,2,9.644,8.044001,0,30.0767,227.9109,52.56,0
1,2,3,9.694,7.994,0,31.608328,232.86899,57.6,0
1,2,4,9.344001,7.794,0.6,26.208397,232.81522,56.88,0
1,2,5,9.094001,7.694,0.7,26.31942,229.9938,47.88,0
1,2,6,9.094001,7.694,0.1,22.915916,226.27295,46.8,0
1,2,7,8.844001,7.694,0,17.654688,219.20718,40.68,0
1,2,8,8.694,7.644,0.4,18.709612,210.01828,33.12,0
1,2,9,8.094,7.444,0.9,15.546833,185.31445,32.760002,1
1,2,10,7.994,6.994,0.9,16.676977,166.26372,29.88,1
1,2,11,8.394,7.594,0.6,13.584932,147.99466,29.16,1
1,2,12,8.844001,7.944,0.4,11.720751,132.5104,24.119999,1
1,2,13,9.094001,8.394,0.4,10.587918,144.6887,24.84,1
1,2,14,8.694,7.544,1.1,5.904439,142.43134,18,1
1,2,15,8.294001,7.544,1,4.1046314,232.12495,10.799999,1
1,2,16,8.144,7.544,2,9.178235,221.82008,15.84,0
1,2,17,8.244,6.994,2.3,12.783802,237.65257,21.24,0
1,2,18,8.094,7.294,1.3,11.681987,236.3099,24.84,0
1,2,19,7.894,7.144,1.3,10.883676,235.78424,20.519999,0
1,2,20,7.794,6.594,1.6,16.87398,236.3099,29.88,0
1,2,21,7.444,5.944,1,17.581125,222.5104,31.319998,0
1,2,22,7.644,6.544,1.5,18.440998,231.34016,36.36,0
1,2,23,8.044001,7.444,1,19.829433,254.19742,34.92,0
1,3,0,7.844,6.694,0.5,19.592731,249.56708,39.6,0
1,3,1,7.944,7.244,0.9,17.58481,247.1094,32.039997,0
1,3,2,8.144,6.994,0,15.2947035,243.43501,31.68,0
1,3,3,7.594,6.644,0,12.599998,233.13002,27,0
1,3,4,7.444,6.494,0.1,11.090103,215.75398,21.96,0
1,3,5,7.044,6.294,0.4,9.9571085,192.5288,19.44,0
1,3,6,6.694,6.044,0.2,9.693296,158.19853,17.64,0
1,3,7,6.294,5.694,0.1,11.681987,146.3099,21.24,0
1,3,8,6.144,5.394,1,14.84318,157.1663,25.56,0
1,3,9,6.194,5.694,0.2,13.708391,166.32867,26.64,1
1,3,10,6.594,5.994,0.1,11.252519,172.64772,24.48,1
1,3,11,7.144,6.644,0,9.114471,170.9098,19.44,1
1,3,12,7.644,7.044,0,7.5942073,185.44025,16.199999,1
1,3,13,7.744,7.044,0.1,6.489992,199.44012,14.04,1
1,3,14,7.844,6.794,0,9.021574,241.38963,18,1
1,3,15,7.594,6.944,0,7.4128532,240.94548,18.359999,1
1,3,16,6.294,5.694,0.1,5.3517847,250.34608,13.32,1
1,3,17,6.494,5.894,0.2,4.3498964,245.55606,11.5199995,0
1,3,18,6.294,5.744,0.1,5.6233797,230.19447,9.72,0
1,3,19,6.944,6.344,0,6.725354,254.47583,12.24,0
1,3,20,6.344,5.844,0,5.6920996,251.56496,11.879999,0
1,3,21,5.844,5.294,0,5.815978,248.19853,9.36,0
1,3,22,5.394,4.794,0,7.8954163,223.1524,10.799999,0
1,3,23,6.244,5.194,0,8.049845,190.3048,13.32,0
1,4,0,6.644,5.644,0.1,11.480557,228.81418,21.24,0
1,4,1,7.144,6.094,0.2,13.237038,224.9999,23.4,0
1,4,2,6.894,6.144,0.1,12.768586,220.426,23.039999,0
1,4,3,6.894,6.044,0.2,15.856354,230.52757,29.16,0
1,4,4,6.994,6.094,0.1,13.0447235,207.97939,28.8,0
1,4,5,7.144,6.144,0.1,14.565548,219.98683,25.56,0
1,4,6,7.244,6.294,0.6,20.767975,236.3099,34.92,0
1,4,7,6.744,5.794,1.7,18.847641,241.47697,36.719997,0
1,4,8,6.794,5.594,0.3,18.089775,238.84076,33.839996,0
1,4,9,6.644,5.694,0.1,16.595179,229.39879,32.039997,1
1,4,10,6.694,5.844,0.2,12.819235,231.84273,29.519999,1
1,4,11,6.644,5.744,0.8,14.88242,237.84773,25.56,1
1,4,12,7.194,5.894,0.2,14.021525,228.12221,25.56,1
1,4,13,7.694,6.194,0.1,14.904173,232.85323,34.56,1
1,4,14,7.344,5.994,0.1,13.513193,221.76021,27,1
1,4,15,6.744,5.544,0.1,11.440979,204.14554,24.119999,1
1,4,16,5.844,4.944,0,9.449572,197.74477,20.16,1
1,4,17,5.444,4.644,0,6.8399997,180,16.919998,0
1,4,18,5.044,4.344,0,6.9527545,158.74942,12.599999,0
1,4,19,4.644,3.994,0,7.2,143.13002,12.959999,0
1,4,20,4.4440002,3.744,0,7.42159,140.90616,13.32,0
1,4,21,4.4440002,3.544,0,5.991594,147.26479,13.32,0
1,4,22,3.894,3.0939999,0,3.6,143.13002,10.799999,0
1,4,23,3.644,3.044,0,2.4149535,116.56499,7.5599995,0
1,5,0,4.094,3.444,0,1.4399999,90,6.12,0
1,5,1,2.894,2.894,0,3.563818,44.999897,4.68,0
1,5,2,3.794,3.544,0,5.1165614,39.289394,9.36,0
1,5,3,4.144,3.8439999,0,5.3517847,42.27363,10.799999,0
1,5,4,4.1940002,3.8439999,0,4.8433046,48.01287,10.440001,0
1,5,5,4.094,3.794,0,4.3349743,41.63345,9.72,0
1,5,6,3.8439999,3.744,0,5.1919937,33.6901,10.08,0
1,5,7,3.744,3.694,0,6.12,28.072395,12.599999,0
1,5,8,3.744,3.694,0,5.3517847,47.72637,12.959999,0
1,5,9,3.744,3.644,0,4.896529,72.89719,10.799999,1
1,5,10,4.244,3.994,0,2.16,90,9.72,1
1,5,11,4.794,4.094,0,0.8049845,296.56497,6.8399997,1
1,5,12,5.144,4.294,0,2.9024127,262.8751,8.28,1
1,5,13,5.844,5.194,0,4.3349743,274.76355,11.5199995,1
1,5,14,5.844,5.094,0,5.0528407,274.08554,12.24,1
1,5,15,5.544,5.044,0,4.3349743,265.23645,12.24,1
1,5,16,5.444,5.044,0,1.8,216.86998,10.08,1
1,5,17,4.794,4.4440002,0,5.1165614,230.71062,5.7599998,0
1,5,18,4.494,3.944,0,5.8048253,299.74478,10.440001,0
1,5,19,5.144,4.144,0,7.5942082,328.5705,13.679999,0
1,5,20,3.8439999,2.994,0,6.489992,340.55988,13.32,0
