month,day,hour,temperature_2m,dew_point_2m,rain,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day
1,1,0,5.9445,4.2445,0,19.602652,262.61404,33.839996,0
1,1,1,6.0445,4.4445,0,21.746502,250.6651,42.48,0
1,1,2,6.2445,4.3445,0.1,27.047956,260.03625,47.519997,0
1,1,3,5.8945003,4.0445,0.1,30.018473,264.4946,51.839996,0
1,1,4,6.5945,4.4945,0.1,31.012281,273.32733,54.36,0
1,1,5,5.9945,3.3945,0,28.8,270,54,0
1,1,6,5.7445,3.4945002,0,26.319422,266.8637,49.68,0
1,1,7,5.4945,3.3945,0,24.50381,267.47394,46.079998,0
1,1,8,5.3445,3.0945,0,23.78453,267.3975,42.839996,0
1,1,9,5.4445,3.1445,0,23.535301,263.85345,41.760002,1
1,1,10,5.6945,3.5445,0,23.770906,268.26434,41.399998,1
1,1,11,6.2445,3.7945,0,24.119999,270,43.56,1
1,1,12,6.7945,3.9945002,0,19.959719,262.7469,41.039997,1
1,1,13,7.1945,3.4445,0,20.724247,252.824,42.12,1
1,1,14,6.9945,3.4445,0,14.693999,239.03632,36.36,1
1,1,15,5.9445,3.1445,0,9.6932955,195.06854,24.84,1
1,1,16,4.3445,2.2445,0,10.041354,165.4655,16.919998,0
1,1,17,4.9445,2.4445,0,12.074766,153.43501,20.16,0
1,1,18,5.1445003,2.8945,0,15.629971,141.54626,26.64,0
1,1,19,5.0445,3.1445,0.2,19.85556,135.0001,33.839996,0
1,1,20,5.2945,4.0945,1.3,21.068459,123.14701,37.079998,0
1,1,21,5.5945,4.5945,2.2,23.993399,117.718414,41.039997,0
1,1,22,5.9945,5.1445003,2.9,24.962307,123.23173,46.44,0
1,1,23,6.3445,5.7945,3.7,22.065973,123.6901,44.28,0
1,2,0,7.1945,6.6945,2.4,17.884428,139.89915,37.8,0
1,2,1,7.6945,6.8945003,0.3,10.685391,212.61923,23.039999,0
1,2,2,9.1445,7.2945,0,26.749235,241.02039,45.36,0
1,2,3,9.4445,7.2445,0,30.599998,244.94241,52.56,0
1,2,4,9.044499,6.9445,0,30.551254,248.57463,54.36,0
1,2,5,8.744499,6.6945,0,29.548521,247.80966,53.28,0
1,2,6,8.494499,6.4945,0,23.73271,247.71436,51.48,0
1,2,7,8.0945,6.4945,0,18.043148,241.38963,41.039997,0
1,2,8,7.8945003,6.6445003,0,11.183201,213.17853,30.599998,0
1,2,9,7.6945,6.7445,0.1,9.504273,155.37645,19.44,1
1,2,10,7.9945,7.1445003,0.3,8.225035,156.80139,16.199999,1
1,2,11,8.294499,7.4945,0.2,7.7879906,146.3099,13.679999,1
1,2,12,8.0945,7.5945,0.9,11.440979,114.14554,19.08,1
1,2,13,8.294499,7.8945003,1.3,11.592894,143.84172,20.16,1
1,2,14,8.1445,7.8945003,1.3,6.725354,105.52418,19.8,1
1,2,15,8.0945,7.6445003,0.9,6.3690495,42.709366,11.5199995,1
1,2,16,7.9945,7.1945,1.1,6.9527545,338.74942,11.5199995,0
1,2,17,7.8445,6.8945003,1.6,13.37825,293.80594,21.96,0
1,2,18,7.6445003,5.7445,1.2,15.745627,280.53912,27.72,0
1,2,19,7.4445,5.7445,0.6,15.137133,272.72626,27.359999,0
1,2,20,7.5445,5.7945,0.6,15.815435,258.17853,27.72,0
1,2,21,7.4945,5.7445,0.8,13.896187,253.44284,27.359999,0
1,2,22,7.3445,5.6445003,0.2,13.708391,256.32867,24.119999,0
1,2,23,6.8945003,5.2945,0.1,12.371645,261.6342,24.84,0
1,3,0,7.0445,5.6445003,0.2,11.435313,241.8215,21.599998,0
1,3,1,7.6945,6.0445,0.6,20.570463,265.9859,36,0
1,3,2,7.3445,5.9445,0.6,14.332341,258.40784,36,0
1,3,3,7.7945,6.2945,0.2,14.007655,244.09354,24.84,0
1,3,4,7.5445,6.1445003,0,12.979984,236.3099,24.119999,0
1,3,5,6.5945,5.4945,0,11.753876,229.9698,22.319998,0
1,3,6,5.4945,4.6445003,0,9.1641035,224.9999,20.519999,0
1,3,7,5.2945,4.4945,0,7.2,216.86998,15.84,0
1,3,8,4.3445,3.8445,0,7.6367526,224.9999,12.24,0
1,3,9,4.5945,3.9945002,0,6.8777895,227.12111,10.799999,1
1,3,10,6.0445,5.1445003,0.2,4.8433046,221.98714,9.72,1
1,3,11,6.6445003,5.6445003,0.4,6.28713,246.3706,10.08,1
1,3,12,7.0945,6.0945,0.1,6.924738,278.97253,11.879999,1
1,3,13,7.9445,6.4945,0.6,9.422101,276.58185,17.28,1
1,3,14,8.294499,6.7445,0,10.30883,294.77512,18.72,1
1,3,15,7.8445,6.5945,0,7.42159,284.03625,17.28,1
1,3,16,6.3945003,5.5445,0,7.208994,272.86234,12.959999,0
1,3,17,6.8945003,5.8445,0,9.746631,265.76367,16.56,0
1,3,18,6.0945,5.1445003,0,10.105681,265.91446,17.28,0
1,3,19,5.8945003,4.9945,0,11.879999,270,20.16,0
1,3,20,5.8945003,5.0445,0,11.570515,264.64426,20.880001,0
1,3,21,6.1445003,5.2445,0,9.885262,259.50858,19.8,0
1,3,22,6.3945003,5.4945,0,10.041354,255.4655,17.64,0
1,3,23,6.4445,5.4945,0,10.041354,255.4655,18,0
1,4,0,6.6445003,5.6445003,0,9.178235,258.6901,17.28,0
1,4,1,5.8945003,4.8945003,0,7.754637,248.19853,14.759999,0
1,4,2,5.8445,4.8945003,0,8.534353,242.35411,14.759999,0
1,4,3,5.6945,4.7445,0.4,7.8954163,245.77226,15.4800005,0
1,4,4,5.9445,4.9945,0,9.085988,236.3099,15.84,0
1,4,5,5.8445,4.7945,0,10.296251,233.53067,17.64,0
1,4,6,6.4445,5.3945003,0,12.261157,229.76372,21.24,0
1,4,7,6.5945,5.4945,0.1,15.30741,228.81418,26.28,0
1,4,8,6.4445,5.0445,0,17.10284,239.65683,30.960001,0
1,4,9,6.4945,4.8945003,0,15.807239,239.9315,29.88,1
1,4,10,6.7445,5.0445,0,14.982228,234.78232,27.359999,1
1,4,11,7.1945,5.0445,0,16.575644,235.6196,29.519999,1
1,4,12,7.2445,4.9445,0,13.830749,231.34016,29.16,1
1,4,13,7.5445,4.8945003,0,14.799459,221.05472,28.08,1
1,4,14,7.2945,4.4445,0,12.88981,215.90982,27.359999,1
1,4,15,6.9445,4.4945,0,10.829958,201.4478,23.039999,1
1,4,16,6.1445003,4.1445,0,7.172949,197.52567,18.359999,0
1,4,17,3.4945002,2.5945,0,8.766573,199.17911,11.879999,0
1,4,18,3.1945,2.2445,0,7.7043357,232.59457,10.440001,0
1,4,19,2.4945002,1.9944999,0,6.849467,273.01273,9.36,0
1,4,20,1.8445001,1.6445,0,6.618519,315.0001,9,0
1,4,21,1.5445001,1.3445001,0,6.696387,323.74606,10.440001,0
1,4,22,2.0445,1.8445001,0,5.815978,338.19852,10.08,0
1,4,23,2.2445,1.9944999,0,6.28713,346.75946,10.08,0
1,5,0,1.8945,1.5945001,0,8.311245,342.34976,13.679999,0
1,5,1,2.7445002,1.9944999,0,7.491114,324.78232,15.84,0
1,5,2,2.5945,1.7444999,0,7.8954163,316.8476,13.679999,0
1,5,3,2.6445,1.7945001,0,9.422101,313.4519,15.84,0
1,5,4,2.6445,1.6945,0,10.703569,317.72638,18,0
1,5,5,2.7445002,1.7444999,0,9.726664,321.009,18.72,0
1,5,6,2.7945,1.7945001,0,10.009036,322.3057,17.28,0
1,5,7,2.6945,1.7945001,0,8.942214,319.89914,17.28,0
1,5,8,2.0445,1.3945,0,7.491114,324.78232,15.119999,0
1,5,9,2.7945,2.0945,0,9.449572,319.63553,16.199999,1
1,5,10,4.2445,3.0445,0,10.587918,324.6887,18.359999,1
1,5,11,5.1945,3.4445,0,11.27553,343.3007,20.519999,1
1,5,12,5.6445003,3.8445,0,11.043261,340.9743,21.24,1
1,5,13,6.1445003,3.9945002,0,10.296251,323.53067,19.44,1
1,5,14,6.1945,3.7445002,0,9.673221,315.0001,19.44,1
1,5,15,5.9945,4.0445,0,6.9899354,281.88864,18,1
1,5,16,5.3945003,3.9445,0,7.2359104,264.2895,12.24,0
1,5,17,5.4445,3.9945002,0,5.4119864,273.814,12.599999,0
1,5,18,5.3945003,4.1945,0.3,4.1046314,322.12494,9.36,0
1,5,19,5.2945,4.4945,0.4,4.6938252,4.398633,7.5599995,0
1,5,20,5.0445,4.4945,0.3,4.510787,28.610369,8.64,0
1,5,21,4.8445,4.5445,0.1,2.5959969,56.309914,7.92,0
1,5,22,4.7445,4.4945,0,1.8,53.13002,4.32,0
1,5,23,4.7445,4.4445,0,1.8,306.86996,3.6,0
1,6,0,4.5945,4.0445,0,8.435069,309.8055,13.679999,0
1,6,1,4.3945003,3.2945,0,10.495713,337.8336,18.359999,0
1,6,2,4.1445,2.9445,0,10.00256,329.74365,19.08,0
1,6,3,3.6945,2.4945002,0,9.220499,321.34018,17.64,0
1,6,4,2.9945002,1.7945001,0,9.220499,321.34018,16.56,0
1,6,5,2.9445,1.7945001,0,8.287822,325.6196,16.56,0
1,6,6,2.3945,1.3945,0,8.0899935,327.72437,14.4,0
1,6,7,1.9944999,1.0945001,0,7.928177,320.52756,14.759999,0
1,6,8,1.2444999,0.5945,0,7.653705,311.18582,14.04,0
1,6,9,0.69449997,0.2945,0,8.161764,311.42358,14.4,1
1,6,10,1.1945,0.8445,0,9.885262,303.11136,16.56,1
1,6,11,2.2945,1.9445,0,8.4963045,306.38446,16.919998,1
1,6,12,3.1445,2.6445,0,6.696387,323.74606,16.199999,1
1,6,13,4.1945,2.9445,0,7.8954163,313.1524,15.84,1
1,6,14,4.5445,3.2445002,0,7.145796,310.91428,16.199999,1
1,6,15,4.6445003,3.4445,0,6.696387,323.74606,14.4,1
1,6,16,4.0445,3.2445002,0,5.8048253,330.25522,11.159999,1
1,6,17,3.5445,2.7445002,0,7.491114,324.78232,12.959999,0
1,6,18,2.9445,2.0945,0,9.693296,328.67136,16.56,0
1,6,19,3.3445,2.0945,0,10.365251,339.6768,17.64,0
1,6,20,2.6945,1.5445001,0,11.043261,340.9743,18.72,0
1,6,21,2.3445,1.3445001,0,12.682018,353.4803,21.96,0
1,6,22,3.1445,1.9944999,0,11.885453,1.7356651,23.4,0
1,6,23,3.2445002,2.1945,0,10.538843,7.853233,20.16,0
1,7,0,3.1945,2.2445,0,7.9932976,7.7650824,17.64,0
1,7,1,2.1945,1.5445001,0,7.9932976,352.23492,16.199999,0
1,7,2,1.1445,0.5445,0,8.311245,355.03033,14.759999,0
1,7,3,1.0945001,0.3445,0,9.0645685,353.15732,15.4800005,0
1,7,4,1.0945001,0.3445,0,9.726665,357.87894,16.919998,0
1,7,5,0.8945,0.1445,0,10.08,360,17.64,0
1,7,6,0.9945,0.3445,0,9.36,360,17.64,0
1,7,7,1.5445001,0.8445,0,8.707238,352.87506,16.56,0
1,7,8,1.6945,0.9945,0,7.42159,345.9637,15.119999,0
1,7,9,1.7444999,1.0945001,0,7.9932976,352.23492,13.679999,1
1,7,10,2.6945,1.7945001,0,9.726665,357.87894,16.919998,1
1,7,11,3.3445,2.1945,0,9.3876505,4.398633,16.919998,1
