month,day,hour,temperature_2m,dew_point_2m,rain,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day
1,1,0,6.4065,5.0065,0.3,35.728977,274.0444,62.639996,0
1,1,1,6.3564997,4.5065,0,39.601635,269.47916,70.2,0
1,1,2,7.0065,4.1064997,0.3,40.334457,271.5343,69.84,0
1,1,3,6.7565,3.7065,0,37.191677,274.44116,70.2,0
1,1,4,6.4564996,3.4065,0.1,36.36,270,64.439995,0
1,1,5,6.2064996,3.4565,0.2,35.28,270,64.079994,0
1,1,6,5.7565,3.1565,0.1,34.936695,268.22858,61.56,0
1,1,7,5.6064997,3.1565,0,32.112724,273.85672,60.839996,0
1,1,8,6.7064996,2.4565,0.2,30.619051,267.97867,55.8,0
1,1,9,6.4065,2.3065,0,27.645092,261.76447,52.56,1
1,1,10,6.7565,2.0065,0,24.503809,259.8458,47.16,1
1,1,11,7.2565,2.0065,0,21.41319,253.39293,42.12,1
1,1,12,7.6064997,1.9565,0,15.683774,238.13406,36.719997,1
1,1,13,7.8564997,2.8065,0,9.885262,213.11136,28.44,1
1,1,14,7.5065,3.3565,0,11.923557,151.11351,19.8,1
1,1,15,6.9065,3.3065,0,16.363178,140.35587,27.359999,1
1,1,16,6.7565,3.3565,0,19.373219,131.98714,33.12,1
1,1,17,6.5565,3.2565,0,23.1774,136.88817,39.6,0
1,1,18,6.5565,4.4065,0.7,26.009844,131.63345,44.28,0
1,1,19,6.6064997,5.2064996,1.5,28.90107,129.44003,48.96,0
1,1,20,7.0065,5.6565,1.7,29.74306,128.11833,51.48,0
1,1,21,7.3564997,6.2064996,1.6,29.671074,125.61858,57.239998,0
1,1,22,8.2565,7.0565,0.5,26.089447,152.02061,50.76,0
1,1,23,8.6565,7.6565,0.4,23.233253,167.4712,47.16,0
1,2,0,9.2065,7.8564997,0,15.484185,215.53777,39.239998,0
1,2,1,9.9065,7.4065,0,22.66857,237.31944,38.16,0
1,2,2,9.7065,7.3065,0,23.893261,239.18437,40.32,0
1,2,3,9.6565,7.1064997,0,26.178707,238.49579,45.719997,0
1,2,4,9.5565,7.1565,0,24.26998,237.72438,45,0
1,2,5,9.4565,7.2064996,0,18.998316,242.94948,41.039997,0
1,2,6,9.3065,7.2565,0,14.8257065,240.94548,32.399998,0
1,2,7,8.7565,7.3564997,0,10.028439,158.96242,24.48,0
1,2,8,8.5065,7.4564996,0.3,14.168641,152.78398,30.239998,0
1,2,9,8.7065,7.5565,2.3,11.384199,161.56496,27,1
1,2,10,8.856501,7.9065,1,11.440978,167.27565,19.08,1
1,2,11,8.856501,8.0565,1.6,11.681987,146.3099,20.519999,1
1,2,12,9.1565,8.356501,1.6,11.246759,129.80553,20.16,1
1,2,13,8.9565,8.4065,1,4.896529,107.10281,21.599998,1
1,2,14,8.856501,8.356501,1.1,4.6938252,355.60138,8.64,1
1,2,15,8.5565,7.9065,1.4,9.504273,294.62354,15.4800005,1
1,2,16,8.356501,7.2064996,2.5,12.371645,278.36578,20.519999,1
1,2,17,8.356501,7.0565,1.5,13.004921,274.76355,24.84,0
1,2,18,8.2565,6.6565,1.4,16.923828,240.70874,26.64,0
1,2,19,8.3065,6.7565,1.4,14.917212,261.67444,35.28,0
1,2,20,8.1565,6.9065,0.8,15.941944,263.51703,26.28,0
1,2,21,8.4565,7.1064997,0.3,15.281989,254.98158,29.519999,0
1,2,22,8.5065,6.4065,0.1,21.068459,250.0168,37.079998,0
1,2,23,7.7565,5.9564996,0,16.45007,246.80139,36,0
1,3,0,7.2565,5.6565,0,13.104198,232.81522,27.72,0
1,3,1,7.5565,5.5565,0,11.720751,222.5104,23.759998,0
1,3,2,6.0565,4.7064996,0,8.0899935,212.27562,20.16,0
1,3,3,5.7565,4.4564996,0,9.178235,205.55992,15.4800005,0
1,3,4,5.8564997,4.6064997,0,9.227524,200.55612,15.4800005,0
1,3,5,5.6064997,4.5565,0,7.928178,182.60251,15.4800005,0
1,3,6,5.7565,4.8065,0,8.287822,177.5105,13.32,0
1,3,7,6.3065,5.2064996,0.4,10.041354,194.5345,19.08,0
1,3,8,6.2064996,5.2064996,0.8,6.725354,195.52417,16.56,0
1,3,9,6.1064997,5.2064996,0.5,4.896529,197.10281,10.440001,1
1,3,10,6.4564996,5.5565,0.3,4.829907,206.56499,7.5599995,1
1,3,11,7.0565,6.1064997,0.7,7.386582,223.02507,11.159999,1
1,3,12,7.5565,6.4065,0.7,12.181625,251.0295,20.16,1
1,3,13,8.4065,6.9564996,0.4,13.661038,288.43503,24.119999,1
1,3,14,8.4565,7.0065,0,16.071491,285.59286,27,1
1,3,15,8.0565,6.5565,0.1,18.25026,284.85864,30.599998,1
1,3,16,7.8564997,6.4564996,0.1,16.87398,281.07016,30.960001,1
1,3,17,7.3065,5.8564997,0.2,17.373497,275.94678,29.88,0
