month,day,hour,temperature_2m,dew_point_2m,rain,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day
1,1,0,3.2115002,2.3615,0,15.328561,279.46225,26.64,0
1,1,1,3.4115,2.6115,0,15.856356,267.3975,28.08,0
1,1,2,3.0115001,2.1615,0,15.941944,276.48297,28.08,0
1,1,3,3.1115,2.2615001,0,15.124284,271.3639,27.72,0
1,1,4,3.9615002,3.1615,0,14.759999,270,26.28,0
1,1,5,3.6115,2.9615002,0,14.081478,274.39862,25.56,0
1,1,6,3.5615,2.7115002,0.1,17.294992,272.3859,28.8,0
1,1,7,3.5615,2.5615,0.2,20.172853,272.04535,35.28,0
1,1,8,3.2615001,2.2115002,0.8,20.316889,277.1249,36,0
1,1,9,3.9615002,2.5615,0.4,18.36353,271.1233,35.64,1
1,1,10,4.7115,3.0615,0.1,21.602999,269.04517,37.079998,1
1,1,11,5.1615,3.1615,0,23.4,270,40.68,1
1,1,12,5.6615,3.4115,0,22.366402,266.3087,41.039997,1
1,1,13,6.3615003,3.7115002,0,18.079027,257.34744,36,1
1,1,14,6.0115,3.3615,0,13.207634,252.55272,31.319998,1
1,1,15,4.6615,2.8115,0,6.638072,229.39879,22.68,1
1,1,16,1.4614999,0.5615,0,9.028754,175.42616,12.959999,0
1,1,17,1.9114999,0.91150004,0,8.287822,177.5105,14.4,0
1,1,18,2.2615001,1.2114999,0,8.766573,160.82089,14.4,0
1,1,19,3.1615,1.9615,0,11.609651,150.2552,19.44,0
1,1,20,3.3615,1.8115,0,13.479583,145.88548,23.039999,0
1,1,21,3.9115,1.7615,0,13.896187,126.57312,23.759998,0
1,1,22,4.6115003,2.4615002,0.2,18.278645,122.12497,31.68,0
1,1,23,5.0115,3.4115,0.9,22.366402,123.17853,39.239998,0
1,2,0,5.3115,3.6115,2.4,28.082308,126.13547,49.68,0
1,2,1,5.5115,3.7115002,2.6,25.925,115.497505,52.56,0
1,2,2,6.4615,5.1615,2.5,20.380579,107.47486,45.36,0
1,2,3,6.8615003,5.8115,1.2,15.782622,135.0001,36.719997,0
1,2,4,6.1115003,5.3115,0,9.605998,167.00539,26.64,0
1,2,5,5.6615,4.7115,0.1,7.9526596,185.19434,16.919998,0
1,2,6,7.7115,5.7115,0,18.692286,254.3577,30.599998,0
1,2,7,7.8615003,5.7615,0,16.24394,257.19574,34.92,0
