month,day,hour,temperature_2m,dew_point_2m,rain,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day
1,1,0,8.856501,2.0565,0,31.616526,277.8532,63,0
1,1,1,8.5065,2.9065,0,27.834309,275.19434,52.56,0
1,1,2,8.5065,2.4565,0,26.302181,272.35324,49.68,0
1,1,3,8.2065,2.1565,0,25.6233,274.0282,46.8,0
1,1,4,8.3065,2.5565,0,21.67487,274.76355,45,0
1,1,5,8.5065,2.8065,0,23.535301,276.1465,40.68,0
1,1,6,8.7065,2.8065,0,23.051247,271.78986,40.68,0
1,1,7,8.856501,2.8065,0,20.16,270,39.6,0
1,1,8,8.356501,2.9565,0,18.014393,267.70944,34.92,0
1,1,9,8.7065,3.8565,0,16.676977,256.2637,30.599998,1
1,1,10,9.5065,5.1565,0,16.485485,238.39255,29.519999,1
1,1,11,10.4065,5.7064996,0,20.188908,219.93633,34.92,1
1,1,12,10.7065,6.0565,0,26.674032,211.75943,46.44,1
1,1,13,10.106501,8.7065,1.3,24.40046,201.6445,51.48,1
1,1,14,10.5065,8.8065,0.6,33.46645,211.80934,59.039997,1
1,1,15,11.0065,9.4565,1.5,33.29173,201.57137,57.96,1
1,1,16,11.4065,9.9565,2.4,37.290855,210.77397,66.6,1
1,1,17,11.5065,10.356501,2.5,37.441727,223.05193,65.520004,0
1,1,18,11.6565,9.9565,2.4,32.59939,223.21011,65.88,0
1,1,19,11.8065,10.4065,3.2,42.6824,219.86739,73.439995,0
1,1,20,12.2565,10.8065,2.5,47.395744,231.47609,84.24,0
1,1,21,12.5065,11.0065,0.9,44.45672,248.6293,84.24,0
1,1,22,12.6565,10.8065,0.5,35.09769,259.95804,78.12,0
1,1,23,12.2565,10.606501,0.1,29.888672,260.99158,61.56,0
1,2,0,12.0565,10.5565,0.1,27.067116,256.14856,52.199997,0
1,2,1,11.7565,10.5565,0.1,22.33161,249.22766,43.56,0
1,2,2,11.606501,10.5565,0.2,19.995398,246.66594,39.239998,0
1,2,3,11.606501,10.856501,0.3,20.26899,236.59215,34.92,0
1,2,4,11.8065,11.2565,0.2,20.240198,231.49931,34.92,0
1,2,5,11.8065,11.1565,0.9,20.696087,220.06071,35.28,0
1,2,6,11.7065,11.1565,0.9,19.66536,203.7495,35.64,0
1,2,7,12.1565,11.4065,3,31.361351,228.25731,61.56,0
1,2,8,12.5565,11.5065,4.1,41.003666,223.22124,70.56,0
1,2,9,12.7565,11.5565,3.1,50.443695,222.68625,92.159996,1
1,2,10,13.0065,11.5065,0.5,43.797367,231.34016,91.439995,1
1,2,11,12.9065,11.356501,0.3,45,233.13002,78.12,1
1,2,12,12.4565,10.9065,0.4,39.541046,236.88864,82.079994,1
1,2,13,11.356501,8.356501,0.1,41.705654,263.0591,81.72,1
1,2,14,11.2065,7.9065,0,40.155735,264.3406,74.88,1
1,2,15,10.9565,7.7064996,0.1,38.540184,261.94568,73.799995,1
1,2,16,10.856501,7.1064997,0,36.102455,260.81952,68.03999,1
1,2,17,10.5565,7.3065,0,34.10133,259.046,63.36,0
1,2,18,10.4065,6.8564997,0,32.846916,260.53775,59.76,0
