month,day,hour,temperature_2m,dew_point_2m,rain,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day
1,1,0,8.2085,3.7085001,0,27.698952,261.02747,52.56,0
1,1,1,7.8085,3.9085,0,28.054604,261.14212,49.68,0
1,1,2,7.2085,3.5085,0,26.525429,262.1999,50.399998,0
1,1,3,6.9585,3.6585,0,22.963936,260.98074,47.16,0
1,1,4,7.1085,2.6085,0,23.576563,262.98358,41.760002,0
1,1,5,6.9084997,1.8085,0,23.469128,265.60138,43.199997,0
1,1,6,6.6085,1.4585,0,21.707731,264.2895,41.399998,0
1,1,7,6.3085,1.2585001,0,17.811815,255.96373,37.8,0
1,1,8,6.0585,1.2085,0,16.267857,245.13632,31.319998,0
1,1,9,6.5585,1.3085,0,16.1198,240.57263,28.44,1
1,1,10,7.4585,2.2085001,0,14.007655,244.09354,28.44,1
1,1,11,8.8585005,3.9585001,0,10.464797,220.81499,24.48,1
1,1,12,9.6085005,3.9585001,0,12.218805,224.9999,23.039999,1
1,1,13,8.8585005,5.9084997,0.1,14.8257065,209.0545,30.239998,1
1,1,14,8.908501,6.2584996,0.3,14.799459,198.43504,26.28,1
1,1,15,8.908501,7.0585,0.5,16.808569,189.86574,30.239998,1
1,1,16,9.1085005,7.8085,1.3,24.798225,189.18877,42.12,1
1,1,17,9.3085,8.0085,0.5,27.44513,184.5139,49.32,0
1,1,18,9.6085005,8.2585,1,30.652895,183.3664,54.719997,0
1,1,19,10.0585,8.7085,2.7,31.012281,183.32733,59.399998,0
1,1,20,10.8085,9.0585,3,29.179993,218.991,56.16,0
1,1,21,11.0585,9.8085,2.4,30.75209,207.1649,53.28,0
1,1,22,11.8085,10.4585,3.5,36.68822,222.61403,66.24,0
1,1,23,12.5085,10.908501,0.4,33.043606,240.64233,65.88,0
1,2,0,12.3585005,9.7585,0,28.551426,256.13895,58.32,0
1,2,1,12.408501,10.5585,0,24.535526,247.5741,48.239998,0
1,2,2,11.7585,9.658501,0,20.188908,248.00882,42.839996,0
1,2,3,11.3085,9.4585,0.2,16.485485,238.39255,35.28,0
1,2,4,11.158501,9.908501,0,16.363178,230.35587,28.8,0
1,2,5,11.2085,9.9585,0,16.800856,224.9999,29.519999,0
1,2,6,11.2585,10.4585,0.1,15.077082,213.31064,29.88,0
1,2,7,11.408501,10.9585,0.6,13.905509,201.25058,25.919998,0
1,2,8,11.408501,10.908501,1,16.23596,183.814,27.72,0
1,2,9,12.0085,11.2585,2,26.795223,210.69965,45,1
1,2,10,12.5585,11.4585,2.3,33.1552,221.47845,59.039997,1
1,2,11,12.7085,11.5085,2.8,38.881664,216.3395,72.72,1
1,2,12,12.8585005,11.7585,0.7,37.420956,224.61028,70.2,1
1,2,13,12.3585005,11.2585,0.9,38.96158,215.5993,72.72,1
1,2,14,12.3085,9.2085,0.1,46.675217,238.88474,79.92,1
1,2,15,11.158501,7.0084996,0,40.69911,254.61147,91.439995,1
1,2,16,10.9585,6.7085,0,32.058193,257.68057,74.159996,1
1,2,17,10.5085,6.5585,0,30.173496,252.64589,64.439995,0
1,2,18,10.0585,6.4585,0,28.291512,255.2564,58.32,0
1,2,19,9.658501,6.2584996,0,23.565567,251.28816,54.36,0
1,2,20,9.2585,6.0585,0,20.188908,248.00882,42.48,0
1,2,21,9.158501,6.2085,0,19.995398,246.66594,39.239998,0
1,2,22,9.0585,6.2085,0,20.608229,242.98741,38.519997,0
1,2,23,9.158501,6.3585,0,20.991426,239.0363,38.16,0
1,3,0,9.3585005,6.6085,0,22.26768,235.53912,38.88,0
1,3,1,9.2085,6.9585,0.1,22.771244,230.77434,41.760002,0
1,3,2,9.7585,7.3585,0.6,22.26768,235.53912,40.32,0
1,3,3,9.5085,7.0585,0.3,22.476227,238.09193,43.199997,0
1,3,4,8.908501,6.0585,0,21.120682,240.37634,39.96,0
1,3,5,8.658501,5.5084996,0,21.980644,238.39255,39.239998,0
1,3,6,9.0585,6.0084996,0,21.767351,235.78424,39.6,0
1,3,7,9.158501,6.2085,0,21.889065,233.6954,38.519997,0
1,3,8,8.9585,6.2584996,0,21.889065,233.6954,39.239998,0
1,3,9,9.158501,6.4084997,0,21.096123,233.32556,38.88,1
1,3,10,9.908501,6.6584997,0,23.4,239.48984,41.760002,1
1,3,11,10.4585,6.9084997,0,22.870626,241.8215,42.12,1
1,3,12,10.908501,6.8585,0,24.36591,257.19574,41.399998,1
1,3,13,10.4585,7.4585,0.1,23.828083,265.66776,42.12,1
1,3,14,10.2585,7.2584996,0.1,21.602999,270.9548,42.839996,1
1,3,15,10.0085,7.0084996,0,20.188908,266.93356,38.519997,1
1,3,16,9.0085,6.7085,0,15.941944,263.51703,35.64,1
1,3,17,8.408501,6.3585,0,16.75064,261.34753,29.519999,0
1,3,18,8.2085,6.2085,0,18.03237,266.56644,32.039997,0
1,3,19,7.8085,6.1085,0,17.643673,268.8309,31.68,0
1,3,20,7.4084997,6.0084996,0,16.575644,267.5105,31.319998,0
1,3,21,7.3085,5.9585,0,15.158522,265.91446,29.519999,0
1,3,22,7.2085,5.8585,0,16.595179,257.4712,28.8,0
1,3,23,7.1085,5.7085,0,19.0392,254.64981,33.48,0
1,4,0,7.5084996,5.3585,0,20.721119,262.01077,36.719997,0
