month,day,hour,temperature_2m,dew_point_2m,rain,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day
1,1,0,6.7655,4.6654997,0.1,28.100763,267.79745,59.76,0
1,1,1,6.2155,3.6655,0,27.021591,272.29056,60.839996,0
1,1,2,6.2655,3.7655,0,26.727423,274.63538,57.96,0
1,1,3,6.2655,3.7155,0,25.570139,271.6135,57.239998,0
1,1,4,5.6654997,2.8655,0,25.942488,267.6141,55.079998,0
1,1,5,5.5155,2.6655,0,27.362366,269.24615,58.32,0
1,1,6,5.2155,2.5155,0,26.67889,266.906,58.679996,0
1,1,7,5.1654997,2.3655,0,24.546085,265.7947,57.239998,0
1,1,8,5.0155,2.0655,0,22.392462,265.38943,52.92,0
1,1,9,4.9154997,1.6655,0,20.721119,262.01077,48.239998,1
1,1,10,5.6155005,1.7655001,0,19.211996,257.00537,44.639996,1
1,1,11,6.5655003,2.3155,0,16.179985,249.14546,41.760002,1
1,1,12,7.4154997,2.7155,0,10.195057,222.13753,36.719997,1
1,1,13,7.6155005,3.4155,0,9.007196,182.29056,20.519999,1
1,1,14,7.2655,3.4155,0,10.440001,180,21.599998,1
1,1,15,6.9154997,3.6655,0,14.24163,159.27437,30.239998,1
1,1,16,6.2655,3.6655,0,17.727943,150.83249,37.8,1
1,1,17,5.9655,4.5655003,0.4,20.316889,150.25522,42.839996,0
1,1,18,6.1155005,5.4154997,1.4,21.767351,145.78424,46.44,0
1,1,19,6.3655005,5.8155003,2.3,21.915691,137.66306,48.96,0
1,1,20,6.9154997,6.4154997,2.4,23.557316,141.20343,50.039997,0
1,1,21,7.5155,6.9655,1.3,20.12461,153.43501,49.68,0
1,1,22,8.3155,7.5155,1.1,16.808569,170.13426,42.48,0
1,1,23,8.8655,7.7655,2.1,12.758432,196.38962,36.36,0
1,2,0,10.3655,8.7155,0,20.969805,258.11136,45,0
1,2,1,9.665501,7.4655,0,23.871555,246.91484,51.839996,0
1,2,2,10.1155,7.4154997,0,23.847115,241.11351,54,0
1,2,3,9.915501,7.6155005,0,22.59699,239.34941,51.12,0
1,2,4,9.8655,7.6654997,0,21.897945,242.5925,49.32,0
1,2,5,10.0155,7.8155003,0,20.771093,244.32323,48.6,0
1,2,6,9.9655,8.0655,0,17.873556,235.66972,45.36,0
1,2,7,10.1155,8.2655,0.2,14.707222,201.54105,38.88,0
1,2,8,9.4655,8.1655,0.4,13.910169,190.43742,31.68,0
1,2,9,8.8655,8.1655,0.4,9.779817,173.6599,29.519999,1
1,2,10,8.6155,8.1155,0.7,8.311245,162.3498,20.519999,1
1,2,11,8.6155,8.2155,1.6,7.6367526,135.0001,18.359999,1
1,2,12,8.6155,8.3655,2.2,5.315336,118.30067,16.56,1
1,2,13,8.4655,8.4655,1.6,7.0911775,23.962492,14.759999,1
1,2,14,8.3655,8.1155,1.7,7.968939,341.56494,16.199999,1
1,2,15,8.4155,7.1654997,2.2,13.441071,290.37653,27.359999,1
1,2,16,7.8655005,5.7155,1.8,14.759999,270,31.68,1
1,2,17,7.5655003,5.8155003,0.7,15.188415,264.55975,33.12,0
1,2,18,7.4655,5.7155,1,14.618837,260.07382,36.719997,0
1,2,19,8.0155,6.4655,0.5,11.252519,262.6477,33.12,0
1,2,20,8.5655,6.8155003,0.2,17.309973,253.0724,35.28,0
1,2,21,8.3655,6.3655005,0,18.947083,255.69969,41.760002,0
1,2,22,8.0155,5.9655,0,19.242327,252.58194,41.039997,0
1,2,23,7.8655005,6.0655003,0,16.746773,244.5367,41.039997,0
1,3,0,7.7155,5.8655005,0,12.4811535,236.76828,36,0
1,3,1,6.4154997,4.9655,0,10.182337,224.9999,29.88,0
1,3,2,6.7655,5.5155,0,9.387651,212.47118,23.4,0
1,3,3,7.2155,6.0655003,0,10.315115,209.24873,22.68,0
1,3,4,7.3155003,6.2155,0,12.181624,214.15974,25.56,0
1,3,5,7.4655,5.9655,0.4,11.885453,215.13428,27.359999,0
1,3,6,6.7655,5.6155005,1.7,8.0899935,212.27562,24.84,0
1,3,7,6.7155,5.8655005,0.8,3.8939953,213.6901,17.64,0
1,3,8,6.6155005,5.9154997,0.5,3.096837,234.46223,10.440001,0
1,3,9,6.5655003,5.8655005,0.3,2.52,270,8.28,1
1,3,10,7.0655003,5.8655005,0.5,4.32,270,10.440001,1
1,3,11,7.5155,6.1155005,0.9,6.9153743,231.34016,14.759999,1
1,3,12,8.2155,6.7155,0.2,10.8955765,262.40546,22.319998,1
1,3,13,8.3655,6.6654997,0.2,11.113451,294.90472,24.48,1
1,3,14,8.4155,6.5655003,0.1,10.365251,290.3232,23.4,1
1,3,15,8.1155,6.3155003,0,9.605998,282.99463,22.319998,1
1,3,16,6.9655,5.4154997,0,7.208994,272.86234,20.880001,1
1,3,17,6.6654997,5.3155003,0,10.495713,264.09396,22.68,0
1,3,18,6.9655,5.7155,0,12.620554,266.72958,27.359999,0
1,3,19,7.2655,5.8155003,0,12.849528,258.6901,28.08,0
1,3,20,7.0155,5.4655,0,11.874544,255.96373,27.72,0
1,3,21,7.2655,5.6654997,0,11.631956,248.19853,25.919998,0
1,3,22,7.2655,5.7655,0,12.245293,245.69547,26.28,0
1,3,23,7.5655003,5.9655,0,14.021525,240.80261,29.88,0
1,4,0,7.2655,5.7155,0,14.707222,248.45895,31.68,0
1,4,1,7.0155,5.6155005,0,12.074766,243.43501,25.919998,0
1,4,2,7.3155003,5.3155003,0,15.141414,251.99574,32.399998,0
1,4,3,7.0155,5.0655003,0,15.141414,251.99574,32.760002,0
1,4,4,6.1654997,4.5155,0,14.8257065,240.94548,32.760002,0
1,4,5,6.4655,4.4655,0,14.8257065,240.94548,33.839996,0
1,4,6,6.7655,4.4655,0,14.48972,243.43501,33.12,0
1,4,7,5.9154997,3.9155,0,12.413477,240.4613,31.319998,0
1,4,8,5.1654997,3.4655,0,10.383987,236.3099,27.72,0
1,4,9,4.6654997,3.1155,0,8.669949,228.36655,23.4,1
1,4,10,5.4655,3.7155,0,9.957108,220.60121,21.24,1
1,4,11,6.3655005,4.1155,0,13.104198,217.18478,27.72,1
1,4,12,7.0155,3.8655,0,9.504272,232.69597,28.08,1
1,4,13,7.4655,3.9155,0,8.913181,226.63654,20.880001,1
1,4,14,7.4154997,3.9155,0,6.12,208.07239,19.44,1
1,4,15,6.6155005,4.6155005,0,2.7416782,156.80138,12.599999,1
1,4,16,3.8655,2.9155,0,6.849467,176.98727,9.72,1
